source	name	signal	mean	sem	t	p	dz	cov_pos	cov_neg	p_holm
model7	Caudate / Putamen R	rpe	0.2363076657171851	0.025223471464932413	9.368562374363018	3.88330587298174e-13	1.2301525064014207	1.0	0.0	1.5921554079225133e-11
model7	Caudate / Putamen R	urpe	-0.070629805190979	0.015302243770230433	-4.615650243945591	2.272028166903584e-05	-0.6060645688606038	0.002367613712151527	0.26057089502467656	0.00043168535171168095
model7	Caudate / Putamen R	surprise	0.003678635623546033	0.0081496227020581	0.45138723079990356	0.6534232515076812	0.05927004711476362	0.016940109377084168	0.0	1.0
model7	Caudate / Putamen R (2)	rpe	0.23696090870748684	0.028720110838814667	8.250696177231976	2.638753918885109e-11	1.08336948364168	0.7689764936336925	0.0	1.0555015675540436e-09
model7	Caudate / Putamen R (2)	urpe	-0.15740982907975476	0.01946060530565537	-8.088639927043301	4.897610191043469e-11	-1.0620904555067825	0.0	1.0	1.910067974506953e-09
model7	Caudate / Putamen R (2)	surprise	0.00912871392405186	0.01004618406747179	0.9086747627499104	0.3673479376105123	0.11931484172634545	0.02644466209598433	0.0	1.0
model7	Middle Temporal Gyrus R	rpe	0.26531445816033716	0.028111018464826106	9.438094834319562	2.997156556653583e-13	1.2392825656862763	0.9177978883861236	0.0	1.258805753794505e-11
model7	Middle Temporal Gyrus R	urpe	-0.13205783296871282	0.019417875229523797	-6.800838475258416	6.826950770708378e-09	-0.8929938406413372	0.0	1.0	2.457702277455016e-07
model7	Middle Temporal Gyrus R	surprise	0.007278628920563076	0.009399859078742303	0.7743338341128571	0.44193352875455894	0.1016750135999514	0.029411764705882353	0.0	1.0
model7	Insula R	rpe	-0.01725201283974527	0.03250251983256603	-0.5307900103935802	0.5976264404505114	-0.06969614286235608	0.004932182490752158	0.05425400739827373	1.0
model7	Insula R	urpe	0.18154960599850936	0.02678645338362716	6.777664941245226	7.46049769672427e-09	0.8899510065533117	1.0	0.0	2.611174193853495e-07
model7	Insula R	surprise	0.007336214281075576	0.011634248026662285	0.6305705589448604	0.5308415114314119	0.08279797076141103	0.0	0.0	1.0
model7	DLPFC L	rpe	0.2660351901254865	0.0339810998061622	7.828916416567634	1.3227651690923712e-10	1.0279870878164177	0.9013157894736842	0.0	5.026507642551011e-09
model7	DLPFC L	urpe	-0.1408781646705207	0.022466435631308557	-6.270605937783786	5.1641053338950106e-08	-0.8233708975593844	0.0	1.0	1.6008726535074532e-06
model7	DLPFC L	surprise	0.04864285076823529	0.012794759804246537	3.8017791277403186	0.00035195964532053957	0.49919805578412874	0.26973684210526316	0.0	0.005631354325128633
model7	dmPFC R	rpe	-0.019962103339997917	0.04297689833589686	-0.46448450476763187	0.6440699909776089	-0.06098980343965254	0.03829787234042553	0.0	1.0
model7	dmPFC R	urpe	0.19863585297743824	0.030317969516205648	6.5517531730237675	1.7698901494449008e-08	0.8602873381271195	1.0	0.0	5.840637493168173e-07
model7	dmPFC R	surprise	0.008092917602760829	0.015098222875350805	0.5360178922761326	0.5940318404958662	0.070382597383766	0.0	0.0	1.0
model7	Middle Temporal Gyrus L	rpe	0.24549081025118544	0.03686039079161232	6.660016483250294	1.1702664491143703e-08	0.8745030072025504	0.8644859813084113	0.0	3.978905926988859e-07
model7	Middle Temporal Gyrus L	urpe	-0.15592911177724694	0.029454732554748956	-5.29385596991634	1.993298951038828e-06	-0.6951173434828614	0.0	0.7757009345794392	5.1825772727009535e-05
model7	Middle Temporal Gyrus L	surprise	0.0666089492936918	0.012253049566514096	5.436111959893226	1.181293949087514e-06	0.7137964700796546	1.0	0.0	3.307623057445039e-05
model7	Inferior Parietal Lobule L	rpe	0.08025528961028323	0.029387280694446904	2.730953246226979	0.008389516288298255	0.3585917290687443	0.19718309859154928	0.0	0.10906371174787731
model7	Inferior Parietal Lobule L	urpe	-0.11755781039142202	0.022309162583896782	-5.269485573442262	2.1793661024118565e-06	-0.6919173536544732	0.0	1.0	5.4484152560296416e-05
model7	Inferior Parietal Lobule L	surprise	-0.0068662992083605955	0.011447397292569	-0.5998131306945909	0.5510078831119567	-0.07875932257392929	0.0	0.0	1.0
model7	Precuneus L	rpe	0.22997722888404734	0.04791036227881808	4.800156332479328	1.1852044489612233e-05	0.630291405186869	0.7297297297297297	0.0	0.0002488929342818569
model7	Precuneus L	urpe	-0.09627999202585805	0.033161359310159406	-2.9033789334552833	0.00524263287201671	-0.38123233099207904	0.0	0.2702702702702703	0.07339686020823394
model7	Precuneus L	surprise	0.09111552188704214	0.01562839292366651	5.830127405426528	2.7251128226133093e-07	0.7655332327242669	1.0	0.0	8.175338467839927e-06
model7	DLPFC L (2)	rpe	0.23749471086491916	0.032816976794783306	7.236946667880511	1.2816372645555997e-09	0.9502576517554453	1.0	0.0	4.742057878855719e-08
model7	DLPFC L (2)	urpe	-0.1239417766005839	0.023866578326463786	-5.1931104201541345	2.8804489238111e-06	-0.6818888047170943	0.0	0.7454545454545455	6.913077417146639e-05
model7	DLPFC L (2)	surprise	0.06355504850338374	0.011908112266898948	5.337122045787902	1.700750325038543e-06	0.7007984575693944	1.0	0.0	4.592025877604066e-05
model7	Inferior parietal lobule R	rpe	0.25474453701073674	0.05943032311915396	4.286440383303829	7.076533914683643e-05	0.5628371963974876	0.58	0.0	0.0012737761046430558
model7	Inferior parietal lobule R	urpe	0.21187470755172336	0.045103664572200726	4.697505392550976	1.7042504414568932e-05	0.6168126764351795	1.0	0.0	0.0003408500882913786
model7	Inferior parietal lobule R	surprise	-0.010483339131495338	0.022117058036925256	-0.47399338166916277	0.6373152980322911	-0.06223838014609478	0.0	0.0	1.0
model7	Insula R (2)	rpe	-0.21697593795800693	0.038981108865976645	-5.566181780615971	7.298682838744054e-07	-0.7308754742614619	0.0	1.0	2.1166180232357756e-05
