name	n_vox	peak_x	peak_y	peak_z	peak_t	found_by	paper_dist_mm	rpe_pos	rpe_neg	urpe_pos	urpe_neg	surprise_pos	surprise_neg
Caudate / Putamen R	29988	14.5	14.5	-8.5	20.257370578175966	rpe +	5.0	1.0	0.0	0.002367613712151527	0.26057089502467656	0.016940109377084168	0.0
Caudate / Putamen R (2)	8168	2.5	17.5	-8.5	8.10778550654578	urpe −	16.3	0.7689764936336925	0.0	0.0	1.0	0.02644466209598433	0.0
Middle Temporal Gyrus R	1326	47.5	-81.5	2.0	7.307262157683917	urpe −		0.9177978883861236	0.0	0.0	1.0	0.029411764705882353	0.0
Insula R	811	35.5	23.5	-5.0	7.249183933571238	urpe +	0.7	0.004932182490752158	0.05425400739827373	1.0	0.0	0.0	0.0
DLPFC L	304	-33.5	32.5	40.5	6.635410344996715	urpe −	12.6	0.9013157894736842	0.0	0.0	1.0	0.26973684210526316	0.0
dmPFC R	235	2.5	32.5	37.0	8.018432458136942	urpe +	0.7	0.03829787234042553	0.0	1.0	0.0	0.0	0.0
Middle Temporal Gyrus L	214	-51.5	-54.5	19.5	4.78815348169282	surprise +		0.8644859813084113	0.0	0.0	0.7757009345794392	1.0	0.0
Inferior Parietal Lobule L	213	-48.5	-36.5	26.5	5.368321343998864	urpe −		0.19718309859154928	0.0	0.0	1.0	0.0	0.0
Precuneus L	185	-3.5	-54.5	40.5	5.987555974030275	surprise +	0.9	0.7297297297297297	0.0	0.0	0.2702702702702703	1.0	0.0
DLPFC L (2)	110	-27.5	23.5	47.5	5.171666858575673	surprise +	0.9	1.0	0.0	0.0	0.7454545454545455	1.0	0.0
Inferior parietal lobule R	100	44.5	-45.5	47.5	4.679358788211899	urpe +	0.9	0.58	0.0	1.0	0.0	0.0	0.0
Insula R (2)	88	47.5	23.5	2.0	6.481487246437404	rpe −	13.5	0.0	1.0	0.5	0.0	0.0	0.0
Angular gyrus R	81	47.5	-72.5	33.5	4.972105755966854	surprise +	3.6	0.9629629629629629	0.0	0.0	0.48148148148148145	1.0	0.0
Insula L	69	-33.5	26.5	-1.5	5.470666823220433	urpe +	0.9	0.0	0.0	1.0	0.0	0.0	0.0
