name	n_vox	peak_x	peak_y	peak_z	peak_t	found_by	paper_dist_mm	rpe_pos	rpe_neg	urpe_pos	urpe_neg	surprise_pos	surprise_neg
Caudate / Putamen R	31420	17.5	14.5	-12.0	19.28787963568574	rpe +	0.7	1.0	0.0	0.00047740292807129216	0.2727243793761935	0.014162953532781668	0.0
Caudate / Putamen R (2)	8168	2.5	17.5	-8.5	8.10778550654578	urpe −	16.3	0.8507590597453477	0.0	0.0	1.0	0.02056807051909892	0.0
Middle Temporal Gyrus R	1326	47.5	-81.5	2.0	7.307262157683917	urpe −		0.9585218702865762	0.0	0.0	1.0	0.01885369532428356	0.0
Insula R	889	35.5	23.5	-5.0	7.249183933571238	rpe − | urpe +	0.7	0.0	0.22722159730033745	0.9122609673790776	0.0	0.0	0.0
DLPFC L	304	-33.5	32.5	40.5	6.635410344996715	urpe −	12.6	0.9572368421052632	0.0	0.0	1.0	0.20394736842105263	0.0
dmPFC R	299	2.5	32.5	37.0	8.018432458136942	rpe − | urpe +	0.7	0.0	0.4280936454849498	0.7859531772575251	0.0	0.0	0.0
Inferior Parietal Lobule L	213	-48.5	-36.5	26.5	5.368321343998864	urpe −		0.27230046948356806	0.0	0.0	1.0	0.0	0.0
Angular gyrus L (surprise)	177	-36.5	-81.5	40.5	4.574284150189388	surprise +	0.9	0.8870056497175142	0.0	0.0	0.7344632768361582	1.0	0.0
Precuneus L	172	-3.5	-54.5	40.5	6.010806433552538	surprise +	0.9	0.75	0.0	0.0	0.22093023255813954	1.0	0.0
Inferior parietal lobule R	100	44.5	-45.5	47.5	4.679358788211899	urpe +	0.9	0.15	0.0	1.0	0.0	0.0	0.0
DLPFC L (2)	90	-27.5	23.5	47.5	4.976911721312387	surprise +	0.9	1.0	0.0	0.0	0.6888888888888889	1.0	0.0
Angular gyrus R	71	47.5	-72.5	37.0	4.826601469269317	surprise +	0.7	0.971830985915493	0.0	0.0	0.352112676056338	1.0	0.0
Insula L	69	-33.5	26.5	-1.5	5.470666823220433	urpe +	0.9	0.0	0.0	1.0	0.0	0.0	0.0
