source	name	signal	mean	sem	t	p	dz	cov_pos	cov_neg	p_holm
model2	Caudate / Putamen R	rpe	0.2256430799342318	0.02251976397725886	10.019779965815495	3.497549728033293e-14	1.3156615653505455	1.0	0.0	1.3290688966526512e-12
model2	Caudate / Putamen R	urpe	-0.07640336711971522	0.015053965291249296	-5.075298477280777	4.418424068733042e-06	-0.6664193387501205	0.00047740292807129216	0.2727243793761935	9.278690544339389e-05
model2	Caudate / Putamen R	surprise	0.003253675770139031	0.00775888864750873	0.4193481718781646	0.6765379496632367	0.05506311257556761	0.014162953532781668	0.0	1.0
model2	Caudate / Putamen R (2)	rpe	0.262206193587726	0.02847800907480146	9.2073217934233	7.092617704257893e-13	1.2089805808859968	0.8507590597453477	0.0	2.6242685505754205e-11
model2	Caudate / Putamen R (2)	urpe	-0.15740982907975476	0.01946060530565537	-8.088639927043301	4.897610191043469e-11	-1.0620904555067825	0.0	1.0	1.6162113630443448e-09
model2	Caudate / Putamen R (2)	surprise	0.005120503666313044	0.009904262318638299	0.5170000048036938	0.6071565463013759	0.06788542641923245	0.02056807051909892	0.0	1.0
model2	Middle Temporal Gyrus R	rpe	0.28139651019459555	0.02635074032978294	10.678884413602107	3.204531569013136e-15	1.402206219271383	0.9585218702865762	0.0	1.249767311915123e-13
model2	Middle Temporal Gyrus R	urpe	-0.13205783296871282	0.019417875229523797	-6.800838475258416	6.826950770708378e-09	-0.8929938406413372	0.0	1.0	2.116354738919597e-07
model2	Middle Temporal Gyrus R	surprise	0.004591675625010068	0.009219101768558644	0.49806106281088935	0.6203573029765204	0.06539862150402011	0.01885369532428356	0.0	1.0
model2	Insula R	rpe	-0.09958192811937082	0.03155016958936618	-3.1563040521003853	0.0025528343191255766	-0.41444302610198946	0.0	0.22722159730033745	0.033186846148632494
model2	Insula R	urpe	0.174318673784506	0.02600093021600795	6.7043245120970125	9.878287653730766e-09	0.8803209364174587	0.9122609673790776	0.0	2.9634862961192294e-07
model2	Insula R	surprise	0.014878565844646148	0.011365541241753499	1.3090943517926692	0.1957554047734667	0.17189250961070615	0.0	0.0	1.0
model2	DLPFC L	rpe	0.2894017622515742	0.03268936480840193	8.8530861320741	2.685126147072538e-12	1.1624671598025287	0.9572368421052632	0.0	9.666454129461137e-11
model2	DLPFC L	urpe	-0.1408781646705207	0.022466435631308557	-6.270605937783786	5.1641053338950106e-08	-0.8233708975593844	0.0	1.0	1.445949493490603e-06
model2	DLPFC L	surprise	0.04443174071607557	0.01274852789108324	3.4852448138072996	0.0009529671201889749	0.4576350641438844	0.20394736842105263	0.0	0.014294506802834624
model2	dmPFC R	rpe	-0.12094987369514566	0.034486141694782854	-3.5072022485322916	0.0008906380745268952	-0.4605182165723734	0.0	0.4280936454849498	0.014250209192430323
model2	dmPFC R	urpe	0.16849611325460678	0.026628355783128003	6.327694981504176	4.156887219137459e-08	0.8308670562456816	0.7859531772575251	0.0	1.2054972935498633e-06
model2	dmPFC R	surprise	0.01784982595517335	0.013558654400391165	1.3164894854653413	0.19327898931235163	0.17286353823378553	0.0	0.0	1.0
model2	Inferior Parietal Lobule L	rpe	0.09911829982784606	0.02896772806160559	3.4216801406396606	0.0011576191836302925	0.44928861365434763	0.27230046948356806	0.0	0.016206668570824097
model2	Inferior Parietal Lobule L	urpe	-0.11755781039142202	0.022309162583896782	-5.269485573442262	2.1793661024118565e-06	-0.6919173536544732	0.0	1.0	5.478969556457366e-05
model2	Inferior Parietal Lobule L	surprise	-0.010375073836255739	0.011465004603359313	-0.9049341186671466	0.369309437330111	-0.11882367109523989	0.0	0.0	1.0
model2	Angular gyrus L (surprise)	rpe	0.28293842341371517	0.034809828983116395	8.128118743443041	4.212136150906168e-11	1.0672742780617561	0.8870056497175142	0.0	1.4321262913080971e-09
model2	Angular gyrus L (surprise)	urpe	-0.15286490167706301	0.029859331082475883	-5.119501882169683	3.7644773052370988e-06	-0.6722235301663367	0.0	0.7344632768361582	8.532520494083405e-05
model2	Angular gyrus L (surprise)	surprise	0.06487575997944334	0.012290165666385553	5.27867253709061	2.107295983252833e-06	0.6931236610799495	1.0	0.0	5.478969556457366e-05
model2	Precuneus L	rpe	0.21225407128141244	0.04378166790389549	4.848012454603792	9.99633939855504e-06	0.6365752218735315	0.75	0.0	0.00017993410917399073
model2	Precuneus L	urpe	-0.08822967801666308	0.03325788689332211	-2.6528948847432283	0.010320477079083753	-0.34834216406743806	0.0	0.22093023255813954	0.11352524786992128
model2	Precuneus L	surprise	0.09228056259890718	0.016123982389096212	5.723186764413214	4.0668984950972545e-07	0.7514912386250764	1.0	0.0	1.0980625936762588e-05
model2	Inferior parietal lobule R	rpe	0.13841195815604684	0.05902021164450351	2.345162009749197	0.022523614975924706	0.307934857978305	0.15	0.0	0.22523614975924705
model2	Inferior parietal lobule R	urpe	0.21187470755172336	0.045103664572200726	4.697505392550976	1.7042504414568932e-05	0.6168126764351795	1.0	0.0	0.0002897225750476718
model2	Inferior parietal lobule R	surprise	0.0014239973941678331	0.022054773463033438	0.06456640312151157	0.9487451457909721	0.00847798407646854	0.0	0.0	1.0
model2	DLPFC L (2)	rpe	0.262037867960991	0.03163647405486217	8.282777262301098	2.3350611872580174e-11	1.0875819364843757	1.0	0.0	8.172714155403061e-10
model2	DLPFC L (2)	urpe	-0.12322373582192853	0.02443222063925357	-5.043493084044656	4.9568117104408155e-06	-0.6622430860185848	0.0	0.6888888888888889	9.913623420881632e-05
model2	DLPFC L (2)	surprise	0.061695594159840994	0.01201412013462921	5.135256970005742	3.555216872534752e-06	0.6742922745494815	1.0	0.0	8.532520494083405e-05
model2	Angular gyrus R	rpe	0.2593550439368287	0.035455833716080645	7.31487647459269	9.502493661595048e-10	0.9604903366882693	0.971830985915493	0.0	3.0407979717104155e-08
model2	Angular gyrus R	urpe	-0.09244049896207492	0.0307976769133156	-3.0015412922949256	0.003981493776464989	-0.39412168017240856	0.0	0.352112676056338	0.047777925317579864
model2	Angular gyrus R	surprise	0.07511125758933451	0.014634687162073568	5.132412928100617	3.5921261380387997e-06	0.6739188335520157	1.0	0.0	8.532520494083405e-05
model2	Insula L	rpe	-0.06533705738729577	0.039166347654448486	-1.6681937760381094	0.1007622721774029	-0.21904457405035507	0.0	0.0	0.906860449596626
model2	Insula L	urpe	0.15690115554718084	0.03151250912973614	4.979011823565781	6.2536001616727015e-06	0.6537762817188049	1.0	0.0	0.00011881840307178133
model2	Insula L	surprise	0.004267294234904486	0.013843880264697085	0.3082440871571535	0.7590202864393556	0.04047443153470725	0.0	0.0	1.0
