Unnamed: 0,trialNumber,runNumber,visualSet,audioSet,visual,audio,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,startTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,feedbackOnsetTime,feedbackOffsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,participantID,stimulusPair
9,10,1,0,3,0,0,0.5,1,0,0,1,48.0978232,48.7239181,50.4721754,50.4721036,1.74818549999998,52.5888155,53.6032893,3.5,0.4,0.6,5,6,0,"(0, 0)"
10,11,1,0,3,2,0,0.35,0,0,1,0,53.6091229,54.2402954,56.422983,56.4229115000001,2.18261610000002,58.5396388,59.5540159,3.5,0.454545454545455,0.545454545454545,5,7,0,"(2, 0)"
11,12,1,0,3,2,1,0.5,1,0,0,0,59.5600238000001,60.1887632,62.3926686,62.3925947,2.20383149999998,64.5092845,65.5236979,3.5,0.416666666666667,0.583333333333333,6,7,0,"(2, 1)"
12,13,1,0,3,0,0,0.5,1,1,1,1,65.5292623,66.1591932,68.4079556,68.4078836,2.24869039999999,70.5247057,71.5390254,3.5,0.461538461538462,0.538461538461538,6,8,0,"(0, 0)"
13,14,1,0,3,2,2,0.15,0,0,1,1,71.5446420000001,72.17418,74.2427624000001,74.2426897,2.06850970000005,76.3594811,77.3738839,3.5,0.5,0.5,7,8,0,"(2, 2)"
14,15,1,0,3,2,1,0.5,1,1,1,1,77.380188,78.0092703,80.02432,80.0242455,2.01497519999998,82.1409995,83.1554980000001,3.5,0.533333333333333,0.466666666666667,8,8,0,"(2, 1)"
15,16,1,0,3,1,1,0.35,0,1,0,0,83.1629246,83.7901335,85.6223378,85.6222659,1.83213239999998,87.7390803000001,88.7534478,3.5,0.5,0.5,9,8,0,"(1, 1)"
16,17,1,0,3,0,0,0.5,1,0,0,1,88.7676842000001,89.3736306000001,91.3685238,91.3684502,1.99481959999991,93.4853943000001,94.4996272000001,3.5,0.470588235294118,0.529411764705882,9,9,0,"(0, 0)"
17,18,1,0,3,0,2,0.35,0,1,0,0,94.5053518,95.1346757,96.8665204,96.8664478000001,1.73177210000006,98.9831345,100.019262,3.5,0.444444444444444,0.555555555555556,9,10,0,"(0, 2)"
18,19,1,0,3,1,2,0.5,1,1,1,1,100.0256798,100.644228,102.3775618,102.3774868,1.73325880000004,104.4924853,105.5067974,3.5,0.473684210526316,0.526315789473684,9,11,0,"(1, 2)"
19,20,1,0,3,1,1,0.35,0,0,1,0,105.5131242,106.1421407,108.9420164,108.9419415,2.79980079999996,111.0588255,112.0731398,3.5,0.5,0.5,10,11,0,"(1, 1)"
20,21,1,0,3,0,2,0.35,0,1,0,0,112.0787935,112.7085328,114.6275173,114.6274444,1.9189116,116.7443865,117.7588315,3.5,0.476190476190476,0.523809523809524,11,11,0,"(0, 2)"
21,22,1,0,3,0,0,0.5,1,1,1,1,117.7652793,118.3945092,120.3633704,120.3632962,1.96878700000002,122.480183,123.4946086,3.5,0.5,0.5,11,12,0,"(0, 0)"
22,23,1,0,3,0,1,0.15,0,0,1,1,123.5089894,124.1380034,126.3543223,126.35425,2.21624659999998,128.4711738,129.4855101,3.5,0.521739130434783,0.478260869565217,12,12,0,"(0, 1)"
23,24,1,0,3,2,1,0.5,1,1,1,0,129.4927114,130.1223473,132.1043947,132.1043204,1.9819731,134.2211973,135.2355328,3.5,0.541666666666667,0.458333333333333,13,12,0,"(2, 1)"
24,25,1,0,3,1,2,0.5,1,0,0,0,135.2411103,135.8708174,137.7391268,137.739053,1.86823559999993,139.8558522,140.8702016,3.5,0.52,0.48,14,12,0,"(1, 2)"
25,26,1,0,3,0,2,0.35,0,0,1,1,140.8757495,141.5058363,144.9724017,144.9723275,3.46649119999995,147.089096,148.1035544,3.5,0.538461538461538,0.461538461538462,14,13,0,"(0, 2)"
26,27,1,0,3,1,2,0.5,1,1,1,1,148.1099178,148.7376266,150.6517515,150.6516779,1.91405129999998,152.7684881,153.7828813,3.5,0.555555555555556,0.444444444444444,15,13,0,"(1, 2)"
27,28,1,0,3,2,0,0.35,0,,0,0,153.7884218,154.4188386,155.8189534,157.9215098,,157.9388646,158.9589787,3.5,0.535714285714286,0.464285714285714,16,13,0,"(2, 0)"
28,29,1,0,3,2,2,0.15,0,1,0,1,158.9667138,159.5752296,161.068166,160.9393078,1.36407819999999,163.2057464,164.2269229,3.5,0.517241379310345,0.482758620689655,16,14,0,"(2, 2)"
29,30,1,0,3,1,1,0.35,0,0,1,1,164.2413012,164.8727669,167.1266819,167.1266077,2.25384080000003,169.2433307,170.2577377,3.5,0.533333333333333,0.466666666666667,16,15,0,"(1, 1)"
30,31,1,0,3,0,2,0.35,0,0,1,1,170.264156,170.8946891,172.6931185,172.693045,1.79835589999993,174.8098512,175.8243094,3.5,0.548387096774194,0.451612903225806,17,15,0,"(0, 2)"
31,32,1,0,3,2,0,0.35,0,,0,0,175.8298829,176.4594474,177.8595256,179.9758328,,179.9926104,181.0133168,3.5,0.53125,0.46875,18,15,0,"(2, 0)"
32,33,1,0,3,0,0,0.5,1,1,1,1,181.0191229,181.6291439,183.3487345,183.34866,1.71951609999996,185.4655639,186.501668,3.5,0.545454545454545,0.454545454545455,18,16,0,"(0, 0)"
33,34,1,0,3,2,0,0.35,0,0,1,0,186.5081702,187.1430637,189.564535,189.5644604,2.42139670000006,191.6813505,192.6957011,3.5,0.558823529411765,0.441176470588235,19,16,0,"(2, 0)"
34,35,1,0,3,2,2,0.15,0,1,0,0,192.7012786,193.3317466,194.9836471,194.983572,1.65182540000001,197.1003428,198.1283248,3.5,0.542857142857143,0.457142857142857,20,16,0,"(2, 2)"
35,36,1,0,3,0,2,0.35,0,,0,0,198.142882,198.7689339,200.1690893,202.2743676,,202.291273,203.3119506,3.5,0.527777777777778,0.472222222222222,20,17,0,"(0, 2)"
36,37,1,0,3,0,1,0.15,0,1,0,1,203.3176438,203.9281838,206.0147212,206.014645,2.08646119999992,208.131589,209.1460139,3.5,0.513513513513513,0.486486486486487,20,18,0,"(0, 1)"
37,38,1,0,3,2,1,0.5,1,0,0,0,209.1528005,209.7800101,212.1827308,212.1826563,2.40264620000005,214.2993819,215.3138411,3.5,0.5,0.5,20,19,0,"(2, 1)"
38,39,1,0,3,0,2,0.35,0,0,1,0,215.3215099,215.9499424,217.6486149,217.6485402,1.69859780000002,219.7653062,220.8014345,3.5,0.512820512820513,0.487179487179487,20,20,0,"(0, 2)"
39,40,1,0,3,2,1,0.5,1,1,1,1,220.8081267,221.4422658,224.5962233,224.5961501,3.15388430000007,226.7129674,227.7273467,3.5,0.525,0.475,21,20,0,"(2, 1)"
40,41,1,0,3,1,0,0.15,0,0,1,1,227.7337828,228.362722,231.4612812,231.4612068,3.09848479999994,233.5780297,234.5924281,3.5,0.536585365853659,0.463414634146341,22,20,0,"(1, 0)"
41,42,1,0,3,0,0,0.5,1,1,1,1,234.6072793,235.249411,237.1523971,237.1523225,1.90291149999996,239.2691254,240.2834601,3.5,0.547619047619048,0.452380952380952,23,20,0,"(0, 0)"
42,43,1,0,3,1,0,0.15,0,0,1,0,240.2910618,240.9170725,243.7651057,243.7650299,2.84795740000004,245.8818335,246.8962319,3.5,0.558139534883721,0.441860465116279,24,20,0,"(1, 0)"
43,44,1,0,3,2,0,0.35,0,1,0,1,246.9035021,247.5317687,250.0666439,250.0665688,2.53480009999998,252.183378,253.197777,3.5,0.545454545454545,0.454545454545455,25,20,0,"(2, 0)"
44,45,1,0,3,1,1,0.35,0,0,1,1,253.205109,253.8331906,256.5473613,256.5472878,2.71409719999997,258.6641079,259.6786262,3.5,0.555555555555556,0.444444444444444,25,21,0,"(1, 1)"
45,46,1,0,3,2,0,0.35,0,1,0,1,259.6852108,260.3134886,263.2006539,263.2005804,2.88709180000001,265.317387,266.3317469,3.5,0.543478260869565,0.456521739130435,26,21,0,"(2, 0)"
46,47,1,0,3,1,2,0.5,1,0,0,0,266.3374859,266.9665993,269.3485783,269.3485058,2.38190650000001,271.4653314,272.4798489,3.5,0.531914893617021,0.468085106382979,26,22,0,"(1, 2)"
47,48,1,0,3,0,1,0.15,0,0,1,1,272.4863928,273.1172124,274.681979,274.6819033,1.56469090000007,276.8154088,277.8514924,3.5,0.541666666666667,0.458333333333333,26,23,0,"(0, 1)"
48,49,1,0,3,2,1,0.5,1,1,1,0,277.8663841,278.4818674,280.9554879,280.9554138,2.47354639999992,283.0720837,284.0864798,3.5,0.551020408163265,0.448979591836735,27,23,0,"(2, 1)"
49,50,1,0,3,1,1,0.35,0,1,0,0,284.0924675,284.7217931,287.6700629,287.6699871,2.94819400000006,289.7866818,290.8010888,3.5,0.54,0.46,28,23,0,"(1, 1)"
50,51,1,0,3,1,1,0.35,0,0,1,1,290.8067518,291.4561102,294.5326296,294.5325513,3.07644110000001,296.6493319,297.6637274,3.5,0.549019607843137,0.450980392156863,28,24,0,"(1, 1)"
51,52,1,0,3,2,1,0.5,1,0,0,0,297.6705988,298.3391863,299.8445066,299.8444312,1.50524489999998,301.9612291,302.9764864,3.5,0.538461538461538,0.461538461538462,29,24,0,"(2, 1)"
52,53,1,0,3,0,0,0.5,1,1,1,1,302.9823605,303.6487881,305.2106711,305.2105931,1.56180499999994,307.3460571,308.371773,3.5,0.547169811320755,0.452830188679245,29,25,0,"(0, 0)"
53,54,1,0,3,0,0,0.5,1,1,1,0,308.3783076,309.1122358,311.3370758,311.3370013,2.22476549999999,313.453782,314.4681346,3.5,0.555555555555556,0.444444444444444,30,25,0,"(0, 0)"
54,55,1,0,3,1,0,0.15,0,0,1,1,314.4824326,315.2053558,316.7104324,316.7103563,1.50500050000005,318.8437413,319.8715944,3.5,0.563636363636364,0.436363636363636,31,25,0,"(1, 0)"
55,56,1,0,3,1,2,0.5,1,1,1,1,319.8789708,320.6382195,322.543603,322.5435293,1.90530980000005,324.6604951,325.6747286,3.5,0.571428571428571,0.428571428571429,32,25,0,"(1, 2)"
56,57,1,0,3,0,0,0.5,1,1,1,0,325.6803587,326.428685,328.4030192,328.402944,1.97425900000007,330.519628,331.5340374,3.5,0.578947368421053,0.421052631578947,33,25,0,"(0, 0)"
57,58,1,0,3,2,1,0.5,1,1,1,1,331.5395821,332.2869451,334.3981364,334.3980633,2.11111819999996,336.5149292,337.5292757,3.5,0.586206896551724,0.413793103448276,34,25,0,"(2, 1)"
58,59,1,0,3,2,1,0.5,1,0,0,0,337.5348003,338.2830455,340.1223561,340.1222807,1.83923519999996,342.2389929,343.2533952,3.5,0.576271186440678,0.423728813559322,35,25,0,"(2, 1)"
59,60,1,0,3,2,0,0.35,0,0,1,1,343.2600307,343.984091,346.022591,346.0225154,2.03842439999994,348.1392579,349.1536606,3.5,0.583333333333333,0.416666666666667,35,26,0,"(2, 0)"
60,1,2,1,0,1,1,0.35,0,0,1,1,8.79000001532404e-05,0.747994600000084,2.33570529999997,1.74293160000002,0.994936999999936,4.45404619999999,5.48243040000011,3.5,1.0,0.0,1,1,0,"(1, 1)"
61,2,2,1,0,0,0,0.5,1,1,1,1,5.49390960000005,6.20751570000016,7.69725830000016,7.69718209999996,1.48966639999981,9.8306176000001,10.8418543,3.5,1.0,0.0,2,1,0,"(0, 0)"
62,3,2,1,0,1,2,0.5,1,1,1,1,10.8503793,11.5702512,13.1381173,12.9507745000001,1.38052330000005,15.2737481000001,16.3007293000001,3.5,1.0,0.0,3,1,0,"(1, 2)"
63,4,2,1,0,2,1,0.5,1,0,0,0,16.3078417000002,17.0381231000001,18.6329977,17.9829309000002,0.944807800000035,20.7391664000002,21.7742322000001,3.5,0.75,0.25,4,1,0,"(2, 1)"
