trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime
1,1,0,0,2,1,2,1,0,0,0,NaN,0.5,4$,4$,1,1,3601.6592719,0.00862039999992703,2.96938802887098,4.34266350000007,4.19833779999999,1.22894977112901,5.84277470000006,6.63173926169702,3,1,0,1,1,1,7.63173926169702
2,1,0,0,2,1,2,1,0,2,2,NaN,0.15,2@,2@,1,0,3601.6592719,7.64884840000013,10.3870947836463,11.8950991000002,11.9195076000001,1.53241281635383,13.3951932999998,14.0957949223452,3,1,0,2,1,0,15.0957949223452
3,1,0,0,2,1,2,1,0,1,1,NaN,0.35,2@,4$,0,0,3601.6592719,15.1059187999999,19.5258726305265,21.0469797000001,20.9133006000002,1.38742796947372,22.5470666000001,23.0401312159952,3,0.666666666666667,0.333333333333333,3,1,1,24.0401312159952
4,1,0,0,2,1,2,1,0,0,2,NaN,0.35,2@,4$,0,1,3601.6592719,24.0474171000001,26.8934729986504,27.9876408999999,27.8543850000001,0.960912001349698,29.4877270000002,30.9625248129601,3,0.5,0.5,3,2,0,31.9625248129601
5,1,0,0,2,1,2,1,0,1,0,NaN,0.15,2@,2@,1,1,3601.6592719,31.9714829,36.7227245579866,38.0396738999998,37.9061152999998,1.18339074201322,39.5399676000002,40.5484952866959,3,0.6,0.4,3,3,1,41.5484952866959
6,1,0,0,2,1,2,1,0,2,1,NaN,0.5,4$,2@,0,0,3601.6592719,41.5636669,43.7427542930413,45.2460111999999,45.5309174999998,1.78816320695842,46.7462796999998,47.3187417150275,3,0.5,0.5,4,3,1,48.3187417150275
7,1,0,0,2,1,2,1,0,1,2,NaN,0.5,4$,4$,1,1,3601.6592719,48.3222019999998,50.3384609910859,51.7082230000001,51.5733052999999,1.23484430891403,53.2082937999999,53.9060991213005,3,0.571428571428571,0.428571428571429,4,4,1,54.9060991213005
8,1,0,0,2,1,2,1,0,0,1,NaN,0.15,2@,4$,0,0,3601.6592719,54.9095704000001,57.1260415874267,58.6286602,58.4861744,1.36013281257328,60.1287020999998,61.5118658568081,3,0.5,0.5,5,4,1,62.5118658568081
9,1,0,0,2,1,2,1,0,2,0,NaN,0.35,2@,4$,0,0,3601.6592719,62.5163002999998,65.255409769627,66.7580004000001,66.7684129999998,1.51300323037276,68.2580383,69.073373707552,3,0.444444444444444,0.555555555555556,5,5,1,70.073373707552
10,1,0,0,2,1,2,1,0,1,2,NaN,0.5,4$,2@,0,0,3601.6592719,70.0900449999999,74.594968360931,76.1861789999998,76.0523438,1.45737543906898,77.6862173999998,78.1753396762806,3,0.4,0.6,5,6,1,79.1753396762806
11,1,0,0,2,1,2,1,0,2,1,NaN,0.5,4$,4$,1,0,3601.6592719,79.1817556999999,82.1925159213279,83.6877000999998,83.5533378999999,1.36082197867199,85.1877383999999,85.7322910609528,3,0.454545454545455,0.545454545454545,5,7,0,86.7322910609528
12,1,0,0,2,1,2,1,0,1,2,NaN,0.5,4$,2@,0,0,3601.6592719,86.7386652999999,90.9216677095524,92.3112044999998,92.1703102000001,1.24864249044776,93.8112421000001,94.4918790604415,3,0.416666666666667,0.583333333333333,6,7,1,95.4918790604415
13,1,0,0,2,1,2,1,0,0,0,NaN,0.5,4$,4$,1,1,3601.6592719,95.4968751000001,99.9991499998719,101.506298,101.3713014,1.37215140012813,103.0063402,103.616898312722,3,0.461538461538462,0.538461538461538,6,8,1,104.616898312722
14,1,0,0,2,1,2,1,0,1,1,NaN,0.35,2@,2@,1,1,3601.6592719,104.6219391,109.558092272714,111.1497939,111.0073245,1.44923222728539,112.6498563,113.404564477453,3,0.5,0.5,7,8,1,114.404564477453
15,1,0,0,2,1,2,1,0,2,0,NaN,0.35,2@,2@,1,1,3601.6592719,114.4143654,117.864815318203,119.3675805,119.5694492,1.70463388179633,120.8676189,121.510519594177,3,0.533333333333333,0.466666666666667,8,8,1,122.510519594177
16,1,0,0,2,1,2,1,0,1,1,NaN,0.35,2@,2@,1,1,3601.6592719,122.5218288,127.212110623699,128.798112,128.6623411,1.45023047630093,130.2981527,131.242766474248,3,0.5625,0.4375,9,8,1,132.242766474248
17,1,0,0,2,1,2,1,0,0,0,NaN,0.5,4$,4$,1,0,3601.6592719,132.2475128,134.456632164839,135.9851022,135.8491938,1.3925616351612,137.4851421,138.025970596772,3,0.588235294117647,0.411764705882353,10,8,0,139.025970596772
18,1,0,0,2,1,2,1,0,2,1,NaN,0.5,4$,2@,0,0,3601.6592719,139.0371739,143.506572479278,145.0469416,144.9103308,1.40375832072232,146.5469804,147.061870814478,3,0.555555555555556,0.444444444444444,11,8,1,148.061870814478
19,1,0,0,2,1,2,1,0,0,2,NaN,0.35,2@,2@,1,1,3601.6592719,148.0787323,152.077159015242,153.5801578,153.6621448,1.58498578475837,155.0801964,156.007414462753,3,0.578947368421053,0.421052631578947,11,9,1,157.007414462753
20,1,0,0,2,1,2,1,0,2,1,NaN,0.5,4$,2@,0,0,3601.6592719,157.0204065,161.193717045546,162.6963665,162.8501777,1.65646065445389,164.1964052,165.16545787319,3,0.55,0.45,12,9,1,166.16545787319
21,1,0,0,2,1,2,1,0,0,2,NaN,0.35,2@,4$,0,0,3601.6592719,166.1788801,169.55448184658,171.0574152,171.2260987,1.67161685341989,172.5574555,173.324941581913,3,0.523809523809524,0.476190476190476,12,10,1,174.324941581913
22,1,0,0,2,1,2,1,0,2,1,NaN,0.5,4$,2@,0,0,3601.6592719,174.3364491,176.726671385305,178.2628276,178.1232871,1.39661571469514,179.7628679,180.275901636079,3,0.5,0.5,12,11,1,181.275901636079
23,1,0,0,2,1,2,1,0,1,0,NaN,0.15,2@,4$,0,1,3601.6592719,181.2929969,184.418831123151,185.9620134,185.8251856,1.40635447684963,187.4620533,188.656517854969,3,0.478260869565217,0.521739130434783,12,12,0,189.656517854969
24,1,0,0,2,1,2,1,0,0,2,NaN,0.35,2@,2@,1,1,3601.6592719,189.6672735,191.97953688779,193.4769736,193.3381258,1.3585889122096,194.9770143,196.35374769972,3,0.5,0.5,12,13,1,197.35374769972
25,1,0,0,2,1,2,1,0,2,0,NaN,0.35,2@,2@,1,1,3601.6592719,197.3576583,199.987675845186,201.6001481,201.4622903,1.4746144548144,203.1001887,203.773947748818,3,0.52,0.48,13,13,1,204.773947748818
