subject	name	signal	value
54	Caudate / Putamen R	urpe	-0.10428872514192425
55	Caudate / Putamen R	urpe	-0.17230130557515974
56	Caudate / Putamen R	urpe	-0.1794005752314844
57	Caudate / Putamen R	urpe	-0.1361774923336743
58	Caudate / Putamen R	urpe	-0.06816487470757758
59	Caudate / Putamen R	urpe	0.19224792000678756
60	Caudate / Putamen R	urpe	0.014573982817076874
61	Caudate / Putamen R	urpe	-0.08976374925910989
62	Caudate / Putamen R	urpe	0.03017895510708708
63	Caudate / Putamen R	urpe	-0.08230818238820849
64	Caudate / Putamen R	urpe	0.023760583966632814
01	Caudate / Putamen R	surprise	-0.061545850010550775
02	Caudate / Putamen R	surprise	0.014348158983862784
03	Caudate / Putamen R	surprise	-0.02147608344518712
04	Caudate / Putamen R	surprise	-0.060830307395190214
05	Caudate / Putamen R	surprise	0.04088037628524245
06	Caudate / Putamen R	surprise	0.023503465661938814
07	Caudate / Putamen R	surprise	-0.0015524514114964227
09	Caudate / Putamen R	surprise	-0.0008075251408619223
10	Caudate / Putamen R	surprise	-0.005074688140745618
11	Caudate / Putamen R	surprise	0.0400312555740254
12	Caudate / Putamen R	surprise	0.01883192324012498
14	Caudate / Putamen R	surprise	0.018027734879804514
15	Caudate / Putamen R	surprise	-0.03236870158118332
17	Caudate / Putamen R	surprise	-0.012306914359992852
18	Caudate / Putamen R	surprise	-0.06228177341881051
19	Caudate / Putamen R	surprise	-0.16113291265643992
20	Caudate / Putamen R	surprise	0.04113470988823032
21	Caudate / Putamen R	surprise	-0.013034679108271387
22	Caudate / Putamen R	surprise	-0.013404423248926189
23	Caudate / Putamen R	surprise	0.013819451984782297
24	Caudate / Putamen R	surprise	-0.007978914166207711
25	Caudate / Putamen R	surprise	-0.06623344642383648
26	Caudate / Putamen R	surprise	0.2091477698275378
27	Caudate / Putamen R	surprise	0.017661171779993563
28	Caudate / Putamen R	surprise	0.02478503625938917
29	Caudate / Putamen R	surprise	-0.01820621385722582
30	Caudate / Putamen R	surprise	-0.004606091979210161
33	Caudate / Putamen R	surprise	0.011304517600727555
34	Caudate / Putamen R	surprise	0.005611688609207697
35	Caudate / Putamen R	surprise	0.10533751410647652
36	Caudate / Putamen R	surprise	-0.03130875703626491
37	Caudate / Putamen R	surprise	-0.008024895155326735
38	Caudate / Putamen R	surprise	0.15767700909636698
39	Caudate / Putamen R	surprise	0.0646059603063032
40	Caudate / Putamen R	surprise	-0.018876864797254443
41	Caudate / Putamen R	surprise	0.06335150950806333
42	Caudate / Putamen R	surprise	-0.018881478644360426
43	Caudate / Putamen R	surprise	0.005190473495292549
45	Caudate / Putamen R	surprise	0.003982871753869354
46	Caudate / Putamen R	surprise	0.0004200592059685088
47	Caudate / Putamen R	surprise	-0.04385133842757347
48	Caudate / Putamen R	surprise	-0.035665825077703155
49	Caudate / Putamen R	surprise	0.0974990499425842
50	Caudate / Putamen R	surprise	0.0028890122348433113
51	Caudate / Putamen R	surprise	0.00444854968266342
52	Caudate / Putamen R	surprise	-0.042421089667400935
53	Caudate / Putamen R	surprise	0.024053412881278876
54	Caudate / Putamen R	surprise	0.01813425520214587
55	Caudate / Putamen R	surprise	-0.07667834303150498
56	Caudate / Putamen R	surprise	0.09675885403045299
57	Caudate / Putamen R	surprise	-0.03218329918473835
58	Caudate / Putamen R	surprise	0.01101290082853743
59	Caudate / Putamen R	surprise	-0.13882817594197344
60	Caudate / Putamen R	surprise	-0.02892367973650615
61	Caudate / Putamen R	surprise	-0.00623266190192964
62	Caudate / Putamen R	surprise	0.03444767213247291
63	Caudate / Putamen R	surprise	0.062466133990931996
64	Caudate / Putamen R	surprise	0.010949620414016602
01	Caudate / Putamen R (2)	rpe	0.09009562782573115
02	Caudate / Putamen R (2)	rpe	0.47224373523454605
03	Caudate / Putamen R (2)	rpe	0.5736412312866652
04	Caudate / Putamen R (2)	rpe	0.1811857368876331
05	Caudate / Putamen R (2)	rpe	0.3771820845363755
06	Caudate / Putamen R (2)	rpe	0.1735399158685607
07	Caudate / Putamen R (2)	rpe	-0.08649626285235333
09	Caudate / Putamen R (2)	rpe	0.11097304678705529
10	Caudate / Putamen R (2)	rpe	0.772173356784062
11	Caudate / Putamen R (2)	rpe	0.48215953802983025
12	Caudate / Putamen R (2)	rpe	0.1347767520784098
14	Caudate / Putamen R (2)	rpe	0.04266406380213067
15	Caudate / Putamen R (2)	rpe	0.11273633416737976
17	Caudate / Putamen R (2)	rpe	0.055165441650735836
18	Caudate / Putamen R (2)	rpe	0.19409807483794245
19	Caudate / Putamen R (2)	rpe	0.35565748724725005
20	Caudate / Putamen R (2)	rpe	0.10452474957791902
21	Caudate / Putamen R (2)	rpe	0.3345534886643104
22	Caudate / Putamen R (2)	rpe	0.16725960481138033
23	Caudate / Putamen R (2)	rpe	0.01939588407784649
24	Caudate / Putamen R (2)	rpe	0.3347404816257302
25	Caudate / Putamen R (2)	rpe	0.45915495980291293
26	Caudate / Putamen R (2)	rpe	-0.24348267476600163
27	Caudate / Putamen R (2)	rpe	0.3963730228594135
28	Caudate / Putamen R (2)	rpe	0.271352696607395
29	Caudate / Putamen R (2)	rpe	0.3275340127250533
30	Caudate / Putamen R (2)	rpe	0.28724475360153445
33	Caudate / Putamen R (2)	rpe	0.10938411499587314
34	Caudate / Putamen R (2)	rpe	0.06606159996522666
35	Caudate / Putamen R (2)	rpe	0.1773444258894679
36	Caudate / Putamen R (2)	rpe	0.17253247361404636
37	Caudate / Putamen R (2)	rpe	0.22394997234942166
