parcel_id	name	n_vox	n_sig_vox	com_x	com_y	com_z
75	Temporal Fusiform Cortex, posterior division L	223	136	-36.25784753363229	-29.14125560538116	-24.791479820627806
76	Temporal Fusiform Cortex, posterior division R	171	88	36.096491228070164	-23.535087719298247	-28.312865497076018
77	Temporal Occipital Fusiform Cortex L	164	127	-33.24390243902439	-53.201219512195124	-16.503048780487802
78	Temporal Occipital Fusiform Cortex R	223	182	34.94843049327355	-49.710762331838566	-17.06950672645739
79	Occipital Fusiform Gyrus L	235	217	-26.670212765957444	-76.52127659574468	-14.189361702127655
80	Occipital Fusiform Gyrus R	238	234	27.672268907563023	-75.7016806722689	-13.191176470588232
82	Frontal Opercular Cortex R	85	48	41.252941176470586	18.558823529411768	4.264705882352942
84	Central Opercular Cortex R	232	125	49.54310344827587	-5.956896551724142	10.991379310344826
85	Parietal Opercular Cortex L	139	55	-48.60791366906475	-31.967625899280577	20.482014388489205
86	Parietal Opercular Cortex R	123	108	49.256097560975604	-27.865853658536594	21.40650406504065
88	Planum Polare R	101	60	47.94554455445544	-3.648514851485146	-7.252475247524757
90	Heschl's Gyrus (includes H1 and H2) R	72	22	46.375	-17.291666666666657	6.9097222222222285
91	Planum Temporale L	134	40	-52.417910447761194	-29.783582089552255	10.619402985074629
92	Planum Temporale R	106	79	54.26415094339623	-25.490566037735846	12.070754716981128
95	Occipital Pole L	609	441	-15.64778325123153	-96.20935960591133	6.603448275862064
96	Occipital Pole R	555	418	16.45675675675676	-94.5972972972973	8.78558558558558
97	Thalamus L	344	136	-9.796511627906966	-19.101744186046503	5.703488372093034
98	Caudate L	125	101	-13.027999999999992	9.867999999999995	9.027999999999992
99	Putamen L	208	208	-24.961538461538453	0.3365384615384528	0.266826923076934
100	Pallidum L	63	29	-19.45238095238095	-4.88095238095238	-1.6666666666666714
102	Hippocampus L	170	142	-24.85294117647058	-22.205882352941174	-14.573529411764703
103	Amygdala L	81	79	-22.648148148148152	-4.722222222222214	-18.30864197530864
105	Thalamus R	321	121	10.873831775700936	-18.471962616822424	6.2087227414330215
106	Caudate R	126	104	13.19047619047619	10.095238095238102	10.222222222222214
107	Putamen R	212	212	25.76415094339623	1.7358490566037688	-0.014150943396231241
108	Pallidum R	69	42	20.282608695652158	-4.543478260869563	-1.398550724637687
109	Hippocampus R	176	165	26.244318181818187	-20.64772727272728	-14.943181818181813
110	Amygdala R	103	102	23.44174757281553	-3.325242718446617	-18.184466019417478
