source	parcel_id	name	signal	mean	sem	t	p	dz	frac_sig_pos	frac_sig_neg	p_holm
model7	1	Frontal Pole L	rpe	0.23603152178828443	0.02762351789587734	8.544585909657467	8.628225907742143e-12	1.1219590960605696	0.7458823529411764	0.0	2.3641338987213473e-09
model7	1	Frontal Pole L	urpe	-0.06324835778471215	0.018994119117371262	-3.329891604547627	0.0015278557312574377	-0.4372361884026868	0.0	0.18941176470588236	0.25667976285124955
model7	1	Frontal Pole L	surprise	0.01573206004165885	0.011741136882879625	1.3399094311385296	0.18559217548025378	0.1759387277579004	0.004705882352941176		1.0
model7	2	Frontal Pole R	rpe	0.10831166721245934	0.022126098038441577	4.895199642715139	8.446448860407258e-06	0.6427712032211131	0.2631305252210088	0.0	0.0018244329538479676
model7	2	Frontal Pole R	urpe	0.021409399645644565	0.014898659809307463	1.4370017115411764	0.15618428183477517	0.1886875687557879	0.16484659386375455	0.0514820592823713	1.0
model7	2	Frontal Pole R	surprise	0.0089463780636824	0.00949782971102971	0.941939194097477	0.3501989580499305	0.12368267554770156	0.0		1.0
model7	3	Insular Cortex L	rpe	0.07640108014439059	0.02906835285622236	2.62832505585318	0.011007535398754589	0.3451159874799122	0.2516778523489933	0.0	1.0
model7	3	Insular Cortex L	urpe	-0.03151123293322334	0.02253527403093495	-1.3983070669549782	0.16743801570604616	-0.1836067130043994	0.08053691275167785	0.16778523489932887	1.0
model7	3	Insular Cortex L	surprise	0.0019177098492919162	0.010759643071690495	0.1782317346880742	0.8591729314321082	0.0234029733042915	0.0		1.0
model7	4	Insular Cortex R	rpe	0.03765087754546473	0.03229623726999529	1.1657976509989338	0.24855135998595224	0.15307673098891375	0.07348242811501597	0.0	1.0
model7	4	Insular Cortex R	urpe	-0.05127557841537402	0.021582970067556138	-2.375742460601022	0.02089825149135831	-0.31195026789490016	0.13738019169329074	0.3514376996805112	1.0
model7	4	Insular Cortex R	surprise	-0.001178238565580859	0.01188694228507602	-0.09912040769812853	0.9213904455094124	-0.013015147158442644	0.0		1.0
model7	5	Superior Frontal Gyrus L	rpe	0.1601534543617398	0.029473635161158033	5.433786958617129	1.191473615690212e-06	0.7134911824556961	0.5503649635036496	0.0	0.0002740389316087488
model7	5	Superior Frontal Gyrus L	urpe	-0.040336844811024224	0.01858298433408887	-2.170633310874066	0.03413857885440215	-0.2850181170973628	0.032116788321167884	0.1927007299270073	1.0
model7	5	Superior Frontal Gyrus L	surprise	0.03535963093839316	0.01098139734051385	3.2199573371177714	0.002118579049798893	0.4228011118974257	0.08029197080291971		0.3410912270176218
model7	6	Superior Frontal Gyrus R	rpe	0.04191257216495799	0.02480421506913324	1.689735879492299	0.09654151775592246	0.2218731908112198	0.3117744610281924	0.0	1.0
model7	6	Superior Frontal Gyrus R	urpe	0.004136518940972726	0.015769050500720194	0.2623188340213512	0.794021378613381	0.03444415036726526	0.1077943615257048	0.04643449419568822	1.0
model7	6	Superior Frontal Gyrus R	surprise	0.020443552895794255	0.009561604329049896	2.1380881484169985	0.036809618041944804	0.2807447279082852	0.0		1.0
model7	7	Middle Frontal Gyrus L	rpe	0.17252619267932987	0.031355450230250534	5.502271261054424	9.25014165347391e-07	0.7224836119156237	0.5929078014184397	0.0	0.00021460328636059472
model7	7	Middle Frontal Gyrus L	urpe	0.0013553977008980834	0.02154098557104954	0.06292180533836383	0.950048904508696	0.008262037808074402	0.0	0.11914893617021277	1.0
model7	7	Middle Frontal Gyrus L	surprise	0.03248700786714224	0.010056471114817457	3.2304580300812544	0.002053993671175347	0.42417992043301583	0.062411347517730496		0.3348009684015816
model7	8	Middle Frontal Gyrus R	rpe	0.04082756935197117	0.029898295318858435	1.365548400554431	0.17744556517653806	0.17930528937410192	0.2222222222222222	0.0	1.0
model7	8	Middle Frontal Gyrus R	urpe	0.09494462367758241	0.024255693191078558	3.914323244841496	0.00024446024740386936	0.5139758223400313	0.3646322378716745	0.0	0.04595852651192744
model7	8	Middle Frontal Gyrus R	surprise	0.021344434357720633	0.011585881086623022	1.842279771226443	0.07063778525075282	0.24190318508936995	0.0		1.0
model7	9	Inferior Frontal Gyrus, pars triangularis L	rpe	0.18497413669211668	0.033648994247338346	5.497166879118482	9.426584469439488e-07	0.7218133737316614	0.7066666666666667	0.0	0.00021775410124405217
model7	9	Inferior Frontal Gyrus, pars triangularis L	urpe	-0.018232701545667442	0.02531127454838759	-0.7203391323029571	0.474259975086057	-0.09458516191196906	0.0	0.0	1.0
model7	9	Inferior Frontal Gyrus, pars triangularis L	surprise	0.020021715733224258	0.0104411165261134	1.9175837836068224	0.06017954488494805	0.251791086335062	0.0		1.0
model7	10	Inferior Frontal Gyrus, pars triangularis R	rpe	-0.03226285383202514	0.032121017765831435	-1.004415677835233	0.3194232910769898	-0.13188623976492472	0.025210084033613446	0.14285714285714285	1.0
model7	10	Inferior Frontal Gyrus, pars triangularis R	urpe	0.014167265117248407	0.022217976456376232	0.6376487591057199	0.5262556184150154	0.08372738397560062	0.04201680672268908	0.0	1.0
model7	10	Inferior Frontal Gyrus, pars triangularis R	surprise	0.01726380086195477	0.011939642836399866	1.4459227213500372	0.15367520588775913	0.18985895473129596	0.0		1.0
model7	11	Inferior Frontal Gyrus, pars opercularis L	rpe	0.13318580418328724	0.033125308409742336	4.020666088171923	0.00017243805366025866	0.52793932175791	0.46632124352331605	0.0	0.03310810630276966
model7	11	Inferior Frontal Gyrus, pars opercularis L	urpe	0.04290032711717175	0.025655379069415854	1.6721767002972816	0.09997071543753296	0.21956755762717745	0.0	0.0	1.0
model7	11	Inferior Frontal Gyrus, pars opercularis L	surprise	0.020833872434072722	0.009191491829320214	2.2666475498149423	0.027224221793012572	0.2976254043164303	0.0		1.0
model7	12	Inferior Frontal Gyrus, pars opercularis R	rpe	0.010603426388724647	0.0350026652516201	0.3029319713942031	0.7630445411610447	0.03977691656293632	0.0	0.0658682634730539	1.0
model7	12	Inferior Frontal Gyrus, pars opercularis R	urpe	0.0783026944089347	0.02721305350122519	2.8773946446476253	0.005633682227569864	0.37782042671834876	0.17964071856287425	0.0	0.8450523341354796
model7	12	Inferior Frontal Gyrus, pars opercularis R	surprise	0.00648810967578824	0.0117116539984689	0.5539874791926442	0.581754354898561	0.0727421197417359	0.0		1.0
model7	13	Precentral Gyrus L	rpe	0.1558870379450742	0.027883645675871704	5.590626123899088	6.665149485785533e-07	0.7340851737815666	0.5784671532846716	0.0	0.0001579640428131171
model7	13	Precentral Gyrus L	urpe	-0.04265705142811635	0.02101574601607843	-2.0297662236439713	0.04705762541163366	-0.26652136236583973	0.0	0.07481751824817519	1.0
model7	13	Precentral Gyrus L	surprise	0.009128291286906839	0.00883066964070511	1.0337031797486609	0.30564090803514415	0.13573187716854926	0.0		1.0
model7	14	Precentral Gyrus R	rpe	0.15095446343047805	0.02844656804988823	5.30659667506257	1.9023484664792733e-06	0.6967902800277305	0.5508228460793805	0.0	0.000431833101890795
model7	14	Precentral Gyrus R	urpe	-0.06097564898683805	0.022025299744881124	-2.7684367383471966	0.00758546960980681	-0.3635135527101755	0.001936108422071636	0.1606969990319458	1.0
model7	14	Precentral Gyrus R	surprise	0.002829720585952634	0.007844180933306235	0.36074137121668076	0.719626303420646	0.047367662639387347	0.0		1.0
model7	17	Superior Temporal Gyrus, anterior division L	rpe	0.05571092726625037	0.019062502248160293	2.922540102080616	0.004970556497859369	0.38374831569369516	0.10606060606060606	0.0	0.7505540311767648
model7	17	Superior Temporal Gyrus, anterior division L	urpe	-0.06917443845665132	0.01878374971859462	-3.6826746252998346	0.0005146473275390928	-0.48355886843113666	0.0	0.24242424242424243	0.09160722430195851
model7	17	Superior Temporal Gyrus, anterior division L	surprise	0.005568356026474429	0.008237930321708482	0.6759411416482576	0.501811430005945	0.08875542013296116	0.0		1.0
model7	18	Superior Temporal Gyrus, anterior division R	rpe	0.09956974233464594	0.02584896894448975	3.8519811969471727	0.0002993396534671165	0.5057899104138577	0.4696969696969697	0.0	0.055187883688072856
model7	18	Superior Temporal Gyrus, anterior division R	urpe	-0.0855206777342405	0.022269223973139653	-3.840307944156137	0.0003108548119527096	-0.504257137229997	0.0	0.3333333333333333	0.05688643058734586
model7	18	Superior Temporal Gyrus, anterior division R	surprise	0.013651750237135399	0.01143974463536478	1.1933614492523226	0.23767129116570293	0.1566960350136313	0.0		1.0
model7	19	Superior Temporal Gyrus, posterior division L	rpe	0.08472880939099191	0.0205505623125179	4.122943601371984	0.0001227687596710772	0.541369017177973	0.5	0.0	0.023968716088928022
model7	19	Superior Temporal Gyrus, posterior division L	urpe	-0.0066923281647587925	0.01760585946729861	-0.3801193674861044	0.7052695792079405	-0.049912118205494384	0.0	0.03211009174311927	1.0
model7	19	Superior Temporal Gyrus, posterior division L	surprise	0.007566256441729347	0.008029627755461632	0.9422923044698918	0.3500197573247551	0.1237290412111091	0.0		1.0
model7	20	Superior Temporal Gyrus, posterior division R	rpe	0.032589546176724875	0.023215031543390163	1.4038122720537007	0.1657997685650608	0.18432958184807383	0.21008403361344538	0.0	1.0
model7	20	Superior Temporal Gyrus, posterior division R	urpe	-0.01092524522473194	0.023489245993265552	-0.4651168976587944	0.6436198203871313	-0.06107284069435693	0.0	0.08403361344537816	1.0
model7	20	Superior Temporal Gyrus, posterior division R	surprise	0.01287413284856647	0.010616505391482452	1.2126525983677543	0.23026476891036216	0.15922908698974364	0.0		1.0
model7	21	Middle Temporal Gyrus, anterior division L	rpe	0.08800229410656717	0.017255966698656682	5.0998182624806425	4.043000578927519e-06	0.6696389442792015	0.6814159292035398	0.0	0.0008975461285219092
model7	21	Middle Temporal Gyrus, anterior division L	urpe	-0.07819993347977189	0.01601678714008556	-4.882373274728689	8.842728865468698e-06	-0.6410870185942663	0.0	0.6283185840707964	0.0018923439772103015
