parcel_id	name	n_vox	n_sig_vox	com_x	com_y	com_z
1	Frontal Pole L	1700	1288	-24.75235294117647	52.46411764705883	8.104411764705873
2	Frontal Pole R	1923	759	26.542121684867396	51.34399375975039	9.804472178887153
3	Insular Cortex L	298	151	-36.61073825503356	1.4228187919463267	-0.043624161073822165
4	Insular Cortex R	313	175	37.531948881789134	2.931309904153352	-0.6948881789137431
5	Superior Frontal Gyrus L	685	398	-13.459124087591249	19.948175182481748	55.5014598540146
6	Superior Frontal Gyrus R	603	326	14.455223880597032	19.514925373134332	56.467661691542276
7	Middle Frontal Gyrus L	705	373	-38.40638297872341	18.334042553191495	42.03900709219859
8	Middle Frontal Gyrus R	639	348	39.53286384976525	18.48591549295776	42.860719874804374
9	Inferior Frontal Gyrus, pars triangularis L	150	97	-49.980000000000004	28.639999999999986	8.463333333333338
10	Inferior Frontal Gyrus, pars triangularis R	119	29	52.39075630252103	27.911764705882348	7.058823529411754
11	Inferior Frontal Gyrus, pars opercularis L	193	57	-50.909326424870464	14.904145077720216	15.492227979274617
12	Inferior Frontal Gyrus, pars opercularis R	167	48	52.00898203592814	15.362275449101787	16.356287425149702
13	Precentral Gyrus L	1096	558	-33.634124087591246	-11.65419708029198	49.04881386861314
14	Precentral Gyrus R	1033	623	34.65779283639884	-10.652952565343668	50.0513068731849
17	Superior Temporal Gyrus, anterior division L	66	29	-55.77272727272727	-2.9090909090909065	-9.242424242424235
18	Superior Temporal Gyrus, anterior division R	66	33	57.363636363636374	-0.818181818181813	-10.88636363636364
19	Superior Temporal Gyrus, posterior division L	218	100	-60.472477064220186	-27.37614678899081	2.0802752293577953
20	Superior Temporal Gyrus, posterior division R	238	65	60.256302521008394	-23.68067226890757	1.455882352941174
21	Middle Temporal Gyrus, anterior division L	113	104	-57.3141592920354	-3.5796460176991047	-22.871681415929203
22	Middle Temporal Gyrus, anterior division R	100	73	57.579999999999984	-2.1499999999999773	-24.564999999999998
23	Middle Temporal Gyrus, posterior division L	326	249	-61.217791411042946	-27.417177914110425	-11.667177914110425
24	Middle Temporal Gyrus, posterior division R	285	50	60.794736842105266	-23.1421052631579	-12.650877192982463
25	Middle Temporal Gyrus, temporooccipital part L	210	173	-57.3	-53.25714285714285	1.1499999999999915
26	Middle Temporal Gyrus, temporooccipital part R	273	182	57.86263736263737	-49.41208791208791	1.6282051282051242
29	Inferior Temporal Gyrus, posterior division L	237	191	-54.006329113924046	-28.82911392405063	-25.867088607594937
30	Inferior Temporal Gyrus, posterior division R	224	99	53.56696428571428	-23.066964285714292	-28.546875
31	Inferior Temporal Gyrus, temporooccipital part L	179	179	-52.06983240223464	-53.05865921787709	-17.04469273743016
32	Inferior Temporal Gyrus, temporooccipital part R	196	195	54.17346938775509	-49.72448979591837	-17.285714285714292
33	Postcentral Gyrus L	918	327	-38.53921568627452	-27.627450980392155	51.37363834422658
34	Postcentral Gyrus R	814	585	37.62653562653563	-26.3132678132678	52.5436117936118
35	Superior Parietal Lobule L	369	322	-29.386178861788608	-49.337398373983746	57.56368563685635
36	Superior Parietal Lobule R	357	332	29.5420168067227	-47.491596638655466	59.225490196078454
37	Supramarginal Gyrus, anterior division L	244	178	-56.99590163934427	-32.70081967213116	36.756147540983605
38	Supramarginal Gyrus, anterior division R	190	125	57.60526315789474	-27.37368421052632	37.902631578947364
39	Supramarginal Gyrus, posterior division L	258	125	-54.895348837209305	-45.98837209302326	32.52325581395348
40	Supramarginal Gyrus, posterior division R	276	105	54.63043478260869	-40.44565217391305	34.15942028985509
41	Angular Gyrus L	259	212	-50.26061776061776	-55.58880308880309	30.44594594594595
42	Angular Gyrus R	353	71	51.5028328611898	-51.45750708215297	32.25070821529745
43	Lateral Occipital Cortex, superior division L	1185	1126	-31.2493670886076	-72.73291139240506	38.34978902953587
44	Lateral Occipital Cortex, superior division R	1149	1005	32.28590078328983	-70.47911227154047	39.056135770234974
45	Lateral Occipital Cortex, inferior division L	506	506	-44.705533596837945	-75.40513833992095	-2.3023715415019694
