source	parcel_id	name	signal	mean	sem	t	p	dz	frac_sig_pos	frac_sig_neg	p_holm
model2	1	Frontal Pole L	rpe	0.23393876770274477	0.025527995252526275	9.1640085869882	8.341658296575285e-13	1.203293278253287	0.7511764705882353	0.0	2.3022976898547787e-10
model2	1	Frontal Pole L	urpe	-0.06324835778471215	0.018994119117371262	-3.329891604547627	0.0015278557312574377	-0.4372361884026868	0.0	0.18941176470588236	0.2551519071199921
model2	1	Frontal Pole L	surprise	0.015696550274807073	0.011523633182527972	1.3621181814955754	0.17851938623423044	0.17885487954555615	0.00411764705882353		1.0
model2	2	Frontal Pole R	rpe	0.08270445970487353	0.018494313740818037	4.471885838204416	3.747054792544852e-05	0.5871873775705323	0.22724908996359855	0.0	0.0075690506809406016
model2	2	Frontal Pole R	urpe	0.021409399645644565	0.014898659809307463	1.4370017115411764	0.15618428183477517	0.1886875687557879	0.16484659386375455	0.0514820592823713	1.0
model2	2	Frontal Pole R	surprise	0.011247426243690796	0.009312157514044517	1.2078217348372302	0.23210350209431144	0.15859476353191837	0.0		1.0
model2	3	Insular Cortex L	rpe	0.07758868332799222	0.026798151577202597	2.895299815902136	0.0053614378158565994	0.3801714908855209	0.33221476510067116	0.0	0.8042156723784899
model2	3	Insular Cortex L	urpe	-0.03151123293322334	0.02253527403093495	-1.3983070669549782	0.16743801570604616	-0.1836067130043994	0.08053691275167785	0.16778523489932887	1.0
model2	3	Insular Cortex L	surprise	0.0005453791616024789	0.01054470525016776	0.05172066441532846	0.9589321023719801	0.006791255949511569	0.0		1.0
model2	4	Insular Cortex R	rpe	0.041436004953925805	0.030383497423475438	1.363766796705595	0.17800267372411824	0.17907135332794213	0.12779552715654952	0.06070287539936102	1.0
model2	4	Insular Cortex R	urpe	-0.05127557841537402	0.021582970067556138	-2.375742460601022	0.02089825149135831	-0.31195026789490016	0.13738019169329074	0.3514376996805112	1.0
model2	4	Insular Cortex R	surprise	-0.002449835440202723	0.01189675412768471	-0.20592469289600238	0.8375834708452002	-0.027039236861907925	0.0		1.0
model2	5	Superior Frontal Gyrus L	rpe	0.14809890054708016	0.02641710686656516	5.606174108888573	6.29080020393706e-07	0.7361267242286924	0.5489051094890511	0.0	0.0001465756447517335
model2	5	Superior Frontal Gyrus L	urpe	-0.040336844811024224	0.01858298433408887	-2.170633310874066	0.03413857885440215	-0.2850181170973628	0.032116788321167884	0.1927007299270073	1.0
model2	5	Superior Frontal Gyrus L	surprise	0.03548595645584183	0.010861016369521588	3.267277688248704	0.0018418801768149608	0.42901457840609797	0.059854014598540145		0.3039102291744685
model2	6	Superior Frontal Gyrus R	rpe	0.02293647847329061	0.02230770734763655	1.0281862728363558	0.308205689696349	0.1350074718014753	0.3150912106135987	0.1558872305140962	1.0
model2	6	Superior Frontal Gyrus R	urpe	0.004136518940972726	0.015769050500720194	0.2623188340213512	0.794021378613381	0.03444415036726526	0.1077943615257048	0.04643449419568822	1.0
model2	6	Superior Frontal Gyrus R	surprise	0.02180762133988393	0.009479525355922029	2.3004971790344246	0.025100292384420773	0.3020700783828648	0.0		1.0
model2	7	Middle Frontal Gyrus L	rpe	0.14708325053939525	0.028344297488235984	5.189165496179281	2.922151329606504e-06	0.6813708108220538	0.524822695035461	0.0	0.0006428732925134309
model2	7	Middle Frontal Gyrus L	urpe	0.0013553977008980834	0.02154098557104954	0.06292180533836383	0.950048904508696	0.008262037808074402	0.0	0.11914893617021277	1.0
model2	7	Middle Frontal Gyrus L	surprise	0.0350435436988974	0.010237887740436212	3.422927129830423	0.0011532309044040715	0.4494523513568013	0.05531914893617021		0.193742791939884
model2	8	Middle Frontal Gyrus R	rpe	-0.0037930916093343674	0.02809916974783637	-0.1349894549687339	0.8930957709780599	-0.017724983805622596	0.17996870109546165	0.0	1.0
model2	8	Middle Frontal Gyrus R	urpe	0.09494462367758241	0.024255693191078558	3.914323244841496	0.00024446024740386936	0.5139758223400313	0.3646322378716745	0.0	0.04644744700673518
model2	8	Middle Frontal Gyrus R	surprise	0.02660172827384301	0.011592111298294695	2.294813049091097	0.025446328012488802	0.3013237155560954	0.0		1.0
model2	9	Inferior Frontal Gyrus, pars triangularis L	rpe	0.173295164837947	0.03154614272338903	5.4933868256882645	9.559387670495535e-07	0.7213170283997205	0.6466666666666666	0.0	0.00021699810012024864
model2	9	Inferior Frontal Gyrus, pars triangularis L	urpe	-0.018232701545667442	0.02531127454838759	-0.7203391323029571	0.474259975086057	-0.09458516191196906	0.0	0.0	1.0
model2	9	Inferior Frontal Gyrus, pars triangularis L	surprise	0.021859622468293368	0.01038978371793111	2.103953562629715	0.03980567477288482	0.27626263721141275	0.0		1.0
model2	10	Inferior Frontal Gyrus, pars triangularis R	rpe	-0.046368787686409924	0.029234491848037912	-1.586098637439528	0.11824960197269081	-0.20826495424585081	0.0	0.2184873949579832	1.0
model2	10	Inferior Frontal Gyrus, pars triangularis R	urpe	0.014167265117248407	0.022217976456376232	0.6376487591057199	0.5262556184150154	0.08372738397560062	0.04201680672268908	0.0	1.0
model2	10	Inferior Frontal Gyrus, pars triangularis R	surprise	0.018184754918995606	0.011790949631694757	1.542263811399374	0.12854346488823223	0.20250915960349175	0.0		1.0
