subject	name	signal	value
01	Caudate / Putamen R	rpe	0.10166865462117268
02	Caudate / Putamen R	rpe	0.5003750685841593
03	Caudate / Putamen R	rpe	0.552845896185419
04	Caudate / Putamen R	rpe	0.24975898478482997
05	Caudate / Putamen R	rpe	0.4162815535470517
06	Caudate / Putamen R	rpe	0.14329300074551266
07	Caudate / Putamen R	rpe	-0.025411804728310304
09	Caudate / Putamen R	rpe	0.20528405714317643
10	Caudate / Putamen R	rpe	0.6827321855470453
11	Caudate / Putamen R	rpe	0.47386513256057355
12	Caudate / Putamen R	rpe	0.17167586343222965
14	Caudate / Putamen R	rpe	0.1877532283874521
15	Caudate / Putamen R	rpe	0.1938137984294439
17	Caudate / Putamen R	rpe	0.17146809454191844
18	Caudate / Putamen R	rpe	0.09634189408117144
19	Caudate / Putamen R	rpe	0.39453227661685014
20	Caudate / Putamen R	rpe	0.16832613900465948
21	Caudate / Putamen R	rpe	0.3354454765732856
22	Caudate / Putamen R	rpe	0.1295416655824251
23	Caudate / Putamen R	rpe	0.08636726864539901
24	Caudate / Putamen R	rpe	0.4656803294626149
25	Caudate / Putamen R	rpe	0.4016312952983609
26	Caudate / Putamen R	rpe	-0.18595438354197175
27	Caudate / Putamen R	rpe	0.3910980606011945
28	Caudate / Putamen R	rpe	0.3146124773069699
29	Caudate / Putamen R	rpe	0.2544435023875522
30	Caudate / Putamen R	rpe	0.31639883709140726
33	Caudate / Putamen R	rpe	0.13222802416424756
34	Caudate / Putamen R	rpe	0.13561782988399593
35	Caudate / Putamen R	rpe	0.2563461060576095
36	Caudate / Putamen R	rpe	0.19320465373153775
37	Caudate / Putamen R	rpe	0.284949478159996
38	Caudate / Putamen R	rpe	-0.008210002126149552
39	Caudate / Putamen R	rpe	0.2530414841862291
40	Caudate / Putamen R	rpe	-0.0008542139897860511
41	Caudate / Putamen R	rpe	0.6074230623462034
42	Caudate / Putamen R	rpe	0.22663333061593177
43	Caudate / Putamen R	rpe	0.23102314904241583
45	Caudate / Putamen R	rpe	0.3562058884631994
46	Caudate / Putamen R	rpe	0.10481048098836146
47	Caudate / Putamen R	rpe	0.5233194799935111
48	Caudate / Putamen R	rpe	0.31559522548943086
49	Caudate / Putamen R	rpe	0.4180300628475979
50	Caudate / Putamen R	rpe	0.13313481824287812
51	Caudate / Putamen R	rpe	0.5156606603469427
52	Caudate / Putamen R	rpe	0.2740784987608396
53	Caudate / Putamen R	rpe	0.14010384717067373
54	Caudate / Putamen R	rpe	0.17472292916665821
55	Caudate / Putamen R	rpe	0.3918170154032796
56	Caudate / Putamen R	rpe	0.3387451566681891
57	Caudate / Putamen R	rpe	0.17987605703475668
58	Caudate / Putamen R	rpe	0.4264891089886899
59	Caudate / Putamen R	rpe	0.054824001117521476
60	Caudate / Putamen R	rpe	0.12024912337716258
61	Caudate / Putamen R	rpe	0.2531728089220374
62	Caudate / Putamen R	rpe	0.06951787480526718
63	Caudate / Putamen R	rpe	-0.14302595756846084
64	Caudate / Putamen R	rpe	0.2983852650281355
01	Caudate / Putamen R	urpe	0.06272040555468093
02	Caudate / Putamen R	urpe	-0.2976845128877937
03	Caudate / Putamen R	urpe	-0.09367929620776384
04	Caudate / Putamen R	urpe	-0.33284463407582027
05	Caudate / Putamen R	urpe	-0.16198104333000782
06	Caudate / Putamen R	urpe	-0.0310831776309664
07	Caudate / Putamen R	urpe	0.007963869431877737
09	Caudate / Putamen R	urpe	-0.22892063285416547
10	Caudate / Putamen R	urpe	-0.26641900302247673
11	Caudate / Putamen R	urpe	-0.06977639418311654
12	Caudate / Putamen R	urpe	-0.040292419758493875
14	Caudate / Putamen R	urpe	-0.1983032954101041
15	Caudate / Putamen R	urpe	0.03746868019778489
17	Caudate / Putamen R	urpe	-0.20527490008366173
18	Caudate / Putamen R	urpe	0.05408870905865907
19	Caudate / Putamen R	urpe	-0.09965783066292062
20	Caudate / Putamen R	urpe	-0.15902326497259334
21	Caudate / Putamen R	urpe	0.033078969946494424
22	Caudate / Putamen R	urpe	0.041180262603808956
23	Caudate / Putamen R	urpe	0.08655505023004609
24	Caudate / Putamen R	urpe	-0.3017974778406647
25	Caudate / Putamen R	urpe	-0.10340305469744121
26	Caudate / Putamen R	urpe	0.024449404764517728
27	Caudate / Putamen R	urpe	-0.02730817190410279
28	Caudate / Putamen R	urpe	0.016706156243006143
29	Caudate / Putamen R	urpe	0.18129663865798723
30	Caudate / Putamen R	urpe	-0.10855692293328655
33	Caudate / Putamen R	urpe	-0.0017784390098064767
34	Caudate / Putamen R	urpe	0.07186032617635671
35	Caudate / Putamen R	urpe	-0.12953863553031086
36	Caudate / Putamen R	urpe	-0.20505678465593036
37	Caudate / Putamen R	urpe	0.06799658793640516
38	Caudate / Putamen R	urpe	-0.21582118334475933
39	Caudate / Putamen R	urpe	-0.2256281971107075
40	Caudate / Putamen R	urpe	-0.017747349066607288
41	Caudate / Putamen R	urpe	-0.10184317165430766
42	Caudate / Putamen R	urpe	-0.12188794088314678
43	Caudate / Putamen R	urpe	-0.06549988505355603
45	Caudate / Putamen R	urpe	-0.048276241894388276
46	Caudate / Putamen R	urpe	-0.07137284158109651
47	Caudate / Putamen R	urpe	-0.006984303726367431
48	Caudate / Putamen R	urpe	-0.18270987632097382
49	Caudate / Putamen R	urpe	-0.15500489733015754
50	Caudate / Putamen R	urpe	-0.1011366288124968
51	Caudate / Putamen R	urpe	-0.3260060773596227
52	Caudate / Putamen R	urpe	-0.05654731381013926
53	Caudate / Putamen R	urpe	-0.034785980252330574
54	Caudate / Putamen R	urpe	-0.1681742469033047
55	Caudate / Putamen R	urpe	-0.2089046977916652
56	Caudate / Putamen R	urpe	-0.20179504714744634
57	Caudate / Putamen R	urpe	-0.1742174230978556
58	Caudate / Putamen R	urpe	-0.09844705691358539
59	Caudate / Putamen R	urpe	0.16917663483766374
60	Caudate / Putamen R	urpe	0.020273537464926217
61	Caudate / Putamen R	urpe	-0.10800576884984726
62	Caudate / Putamen R	urpe	0.04193474726327658
63	Caudate / Putamen R	urpe	-0.07804232311760907
64	Caudate / Putamen R	urpe	0.013323041487637329
01	Caudate / Putamen R	surprise	-0.05649237148925948
02	Caudate / Putamen R	surprise	0.0006351722920680962
03	Caudate / Putamen R	surprise	-0.02811432242416405
04	Caudate / Putamen R	surprise	-0.06627992066002285
05	Caudate / Putamen R	surprise	0.04289897394621935
06	Caudate / Putamen R	surprise	0.02792339636850501
07	Caudate / Putamen R	surprise	0.008743800396457271
09	Caudate / Putamen R	surprise	-0.010663836689869225
10	Caudate / Putamen R	surprise	0.0019210461328687531
11	Caudate / Putamen R	surprise	0.03306949341479745
12	Caudate / Putamen R	surprise	0.011508358774762415
14	Caudate / Putamen R	surprise	0.013419019835807944
15	Caudate / Putamen R	surprise	-0.03931144992873803
17	Caudate / Putamen R	surprise	-0.01493427672977061
18	Caudate / Putamen R	surprise	-0.054854930598900786
19	Caudate / Putamen R	surprise	-0.17429629496135854
20	Caudate / Putamen R	surprise	0.04249553694883882
21	Caudate / Putamen R	surprise	-0.003631858419347825
22	Caudate / Putamen R	surprise	-0.028964734680753793
23	Caudate / Putamen R	surprise	0.021232188300927615
24	Caudate / Putamen R	surprise	-0.018308284523398607
25	Caudate / Putamen R	surprise	-0.07423795862695004
26	Caudate / Putamen R	surprise	0.21150105956337117
