trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,1,2,0,0,1,2,1,,1.0,0.5,0.0,2@,0.0,0.0,11317.5664694,0.0026416000000608,2.35666917563867,3.9620046,4.68483089999972,2.32816172436105,5.46210699999938,6.30319008832703,3,0.0,1.0,1,1,1,7.30319008832703,1.0,"(1, 1)"
2,1,0,1,2,0,0,1,2,0,,0.0,0.5,0.0,4$,1.0,1.0,11317.5664694,7.31799039999896,9.68575714324288,11.3560407999994,11.1295055999999,1.44374845675702,12.8561386999991,13.4739621862227,3,0.5,0.5,1,2,1,14.4739621862227,0.0,"(0, 0)"
3,1,0,1,2,0,0,1,2,1,,2.0,0.35,1.0,4$,0.0,1.0,11317.5664694,14.4913046000001,18.5325576460291,20.1242954999998,21.0826823999996,2.55012475397052,21.6243828999995,22.6404668127689,3,0.333333333333333,0.666666666666667,2,2,0,23.6404668127689,0.0,"(1, 2)"
4,1,0,1,2,0,0,1,2,2,,0.0,0.35,1.0,4$,0.0,0.0,11317.5664694,23.6497182999992,25.8825065051915,27.5823329999985,27.3725017999986,1.48999529480716,29.0824367999994,29.3838424375608,3,0.25,0.75,2,3,1,30.3838424375608,0.0,"(2, 0)"
5,1,0,1,2,0,0,1,2,1,,1.0,0.5,0.0,4$,1.0,1.0,11317.5664694,30.3893017999999,32.9189054441031,34.5163144999988,34.912789,1.9938835558969,36.0165763999994,36.6469396251086,3,0.4,0.6,2,4,1,37.6469396251086,0.0,"(1, 1)"
6,1,0,1,2,0,0,1,2,0,,0.0,0.5,0.0,2@,0.0,0.0,11317.5664694,37.6627553999988,40.7619246493286,42.3368897,43.4964860999989,2.7345614506703,43.8369272,44.7778111970656,3,0.333333333333333,0.666666666666667,3,4,1,45.7778111970656,1.0,"(0, 0)"
7,1,0,1,2,0,0,1,2,2,,1.0,0.15,1.0,,,,11317.5664694,45.7870318999994,50.0298976355043,51.601136199999,53.0303649999987,,53.1011784999992,53.8209475987424,3,0.333333333333333,0.666666666666667,3,5,1,54.8209475987424,,"(2, 1)"
8,1,0,1,2,0,0,1,2,1,,2.0,0.35,1.0,4$,0.0,0.0,11317.5664694,54.8285598999992,57.0070114277623,58.5773680000002,59.3362013999995,2.32918997223715,60.077406299999,60.5387682258897,3,0.285714285714286,0.714285714285714,3,5,1,61.5387682258897,0.0,"(1, 2)"
9,1,0,1,2,0,0,1,2,0,,0.0,0.5,0.0,4$,1.0,1.0,11317.5664694,61.5514131,65.5935976644687,67.1641478999991,67.8846584000003,2.29106073553157,68.6642016999995,70.0227330157286,3,0.375,0.625,3,6,1,71.0227330157286,0.0,"(0, 0)"
10,1,0,1,2,0,0,1,2,2,,2.0,0.5,0.0,4$,1.0,0.0,11317.5664694,71.0268963999988,73.9982115087951,75.5689635999988,76.6156286999994,2.61741719120437,77.0690041999987,77.8976915192525,3,0.444444444444444,0.555555555555556,4,6,0,78.8976915192525,0.0,"(2, 2)"
11,1,0,1,2,0,0,1,2,1,,1.0,0.5,0.0,4$,1.0,1.0,11317.5664694,78.9016828999993,81.1191903592153,82.6897240999988,83.4268761999992,2.30768584078396,84.1897623999994,85.0423519528849,3,0.5,0.5,5,6,1,86.0423519528849,0.0,"(1, 1)"
12,1,0,1,2,0,0,1,2,2,,0.0,0.35,1.0,4$,0.0,0.0,11317.5664694,86.0576137999997,88.4578858961449,90.0286435999988,90.9325178999989,2.47463200385391,91.5286814999999,92.8312402443407,3,0.454545454545455,0.545454545454545,6,6,1,93.8312402443407,0.0,"(2, 0)"
13,1,0,1,2,0,0,1,2,0,,1.0,0.35,1.0,4$,0.0,0.0,11317.5664694,93.8480199999995,97.6953151824837,99.2652629999993,99.8468170999986,2.15150191751491,100.7653008,101.767751132142,3,0.416666666666667,0.583333333333333,6,7,1,102.767751132142,0.0,"(0, 1)"
14,1,0,1,2,0,0,1,2,2,,2.0,0.5,0.0,2@,0.0,0.0,11317.5664694,102.773014599999,107.010615331104,108.581147299999,109.414613499999,2.40399816889476,110.081187,110.541957264732,3,0.384615384615385,0.615384615384615,6,8,1,111.541957264732,1.0,"(2, 2)"
15,1,0,1,2,0,0,1,2,0,,1.0,0.35,1.0,4$,0.0,0.0,11317.5664694,111.547780899999,114.811839634142,116.382485099999,116.441499499999,1.62965986585732,117.882523599999,118.640898553384,3,0.357142857142857,0.642857142857143,6,9,1,119.640898553384,0.0,"(0, 1)"
16,1,0,1,2,0,0,1,2,1,,2.0,0.35,1.0,4$,0.0,0.0,11317.5664694,119.655304799999,123.081479370519,124.651720399999,125.809621799999,2.7281424294797,126.151760799999,126.717167741206,3,0.333333333333333,0.666666666666667,6,10,1,127.717167741206,0.0,"(1, 2)"
17,1,0,1,2,0,0,1,2,0,,0.0,0.5,0.0,4$,1.0,1.0,11317.5664694,127.7293761,130.971237557269,132.5418515,133.1696562,2.19841864273076,134.041890799999,134.666779965501,3,0.375,0.625,6,11,1,135.666779965501,0.0,"(0, 0)"
18,1,0,1,2,0,0,1,2,2,,2.0,0.5,0.0,2@,0.0,1.0,11317.5664694,135.670236999998,140.13274719589,141.703047199999,142.599738699999,2.46699150410859,143.203084999999,144.329812486738,3,0.352941176470588,0.647058823529412,7,11,0,145.329812486738,1.0,"(2, 2)"
19,1,0,1,2,0,0,1,2,1,,0.0,0.15,1.0,4$,0.0,1.0,11317.5664694,145.3457707,147.746361789959,149.3178157,149.993850999999,2.24748921003993,150.8178551,151.919143985509,3,0.333333333333333,0.666666666666667,7,12,0,152.919143985509,0.0,"(1, 0)"
20,1,0,1,2,0,0,1,2,0,,2.0,0.15,1.0,4$,0.0,0.0,11317.5664694,152.936212499999,156.577623413159,158.147829199999,158.590073699999,2.01245028684025,159.647869799999,160.840698661656,3,0.315789473684211,0.684210526315789,7,13,1,161.840698661656,0.0,"(0, 2)"
21,1,0,1,2,0,0,1,2,1,,1.0,0.5,0.0,4$,1.0,1.0,11317.5664694,161.8442466,165.461321365112,167.031694899999,167.5387331,2.0774117348883,168.531733799999,169.206293274554,3,0.35,0.65,7,14,1,170.206293274554,0.0,"(1, 1)"
22,1,0,1,2,0,0,1,2,2,,2.0,0.5,0.0,2@,0.0,0.0,11317.5664694,170.218815799999,173.06852761267,174.6391604,175.1327045,2.06417688733018,176.1392,177.049153555245,3,0.333333333333333,0.666666666666667,8,14,1,178.049153555245,1.0,"(2, 2)"
23,1,0,1,2,0,0,1,2,0,,1.0,0.35,1.0,4$,0.0,0.0,11317.5664694,178.059377,182.899561574613,184.470425699999,184.7931357,1.89357412538629,185.970464399999,186.808600878274,3,0.318181818181818,0.681818181818182,8,15,1,187.808600878274,0.0,"(0, 1)"
24,1,0,1,2,0,0,1,2,2,,0.0,0.35,1.0,2@,1.0,0.0,11317.5664694,187.818476299999,192.692551933576,194.262681099999,195.6815345,2.98898256642315,195.762707399999,196.542718865387,3,0.347826086956522,0.652173913043478,8,16,0,197.542718865387,1.0,"(2, 0)"
25,1,0,1,2,0,0,1,2,1,,1.0,0.5,0.0,2@,0.0,0.0,11317.5664694,197.5462861,201.121368392643,202.6916062,203.8575516,2.73618320735659,204.191638999999,204.994270616291,3,0.333333333333333,0.666666666666667,9,16,1,205.994270616291,1.0,"(1, 1)"
26,1,0,1,2,0,0,1,2,0,,0.0,0.5,0.0,4$,1.0,1.0,11317.5664694,206.002152399999,209.402772562795,210.973520099998,211.499574399999,2.09680183720411,212.473559999999,213.575096436443,3,0.36,0.64,9,17,1,214.575096436443,0.0,"(0, 0)"
27,1,0,1,2,0,0,1,2,1,,1.0,0.5,0.0,4$,1.0,1.0,11317.5664694,214.578790599999,216.964562898831,218.534596599999,218.933502599999,1.96893970116798,220.034635,220.482170366242,3,0.384615384615385,0.615384615384615,10,17,1,221.482170366242,0.0,"(1, 1)"
28,1,0,1,2,0,0,1,2,2,,2.0,0.5,0.0,2@,0.0,0.0,11317.5664694,221.4996144,225.365071720025,226.935277999999,227.5178306,2.1527588799745,228.435317699999,229.447029851313,3,0.37037037037037,0.62962962962963,11,17,1,230.447029851313,1.0,"(2, 2)"
29,1,0,1,2,0,0,1,2,0,,1.0,0.35,1.0,2@,1.0,0.0,11317.5664694,230.457956099999,232.731407669187,234.3015939,234.517969299999,1.78656163081178,235.8016326,236.499282176355,3,0.392857142857143,0.607142857142857,11,18,0,237.499282176355,1.0,"(0, 1)"
30,1,0,1,2,0,0,1,2,2,,2.0,0.5,0.0,4$,1.0,1.0,11317.5664694,237.514480299998,242.351815833843,243.9222347,244.302028,1.95021216615714,245.422272899999,246.350616176436,3,0.413793103448276,0.586206896551724,12,18,1,247.350616176436,0.0,"(2, 2)"
31,1,0,1,2,0,0,1,2,0,,1.0,0.35,1.0,2@,1.0,1.0,11317.5664694,247.357024899999,252.288039481562,253.8596741,254.185206799999,1.89716731843691,255.359713,256.448850780092,3,0.433333333333333,0.566666666666667,13,18,1,257.448850780092,1.0,"(0, 1)"
32,1,0,1,2,0,0,1,2,2,,2.0,0.5,0.0,4$,1.0,0.0,11317.5664694,257.466361699999,262.401958878367,263.972159499999,264.3345477,1.93258882163354,265.4721983,266.616633052261,3,0.451612903225806,0.548387096774194,14,18,0,267.616633052261,0.0,"(2, 2)"
