trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,1,0,2,1,0,2,0,,1.0,0.5,0.0,4$,1.0,1.0,4132.5857175,0.0086060000003271,2.96938802887053,4.16266240000004,3.37984090000009,0.410452871129564,5.66277669999999,6.63173926169657,3,1.0,0.0,1,1,1,7.63173926169657,0.0,"(0, 1)"
2,1,0,1,0,2,1,0,2,2,,2.0,0.5,0.0,4$,1.0,1.0,4132.5857175,7.64879939999992,10.3870947836458,11.6681042,10.7046794999997,0.317584716353849,13.1682132999995,14.0957949223448,3,1.0,0.0,2,1,1,15.0957949223448,0.0,"(2, 2)"
3,1,0,1,0,2,1,0,2,0,,1.0,0.5,0.0,4$,1.0,0.0,4132.5857175,15.1055126000001,19.5258726305265,20.5472282999999,20.3275197000003,0.801647069473802,22.047313,23.0401312159956,3,1.0,0.0,3,1,0,24.0401312159956,0.0,"(0, 1)"
4,1,0,1,0,2,1,0,2,1,,2.0,0.35,1.0,2@,1.0,0.0,4132.5857175,24.0472156999995,26.8934729986504,27.9528498999998,27.7426895999997,0.849216601349326,29.4529353999997,30.9625248129596,3,1.0,0.0,4,1,0,31.9625248129596,1.0,"(1, 2)"
5,1,0,1,0,2,1,0,2,2,,1.0,0.35,1.0,4$,0.0,0.0,4132.5857175,31.9719792999995,36.722724557987,38.0163869999997,37.7777323999999,1.05500784201286,39.5166614,40.5484952866955,3,0.8,0.2,5,1,1,41.5484952866955,0.0,"(2, 1)"
6,1,0,1,0,2,1,0,2,1,,0.0,0.5,0.0,4$,1.0,1.0,4132.5857175,41.5635270000002,43.7427542930418,44.9074067000001,44.7045128,0.961758506958176,46.4074459000003,47.3187417150275,3,0.833333333333333,0.166666666666667,5,2,1,48.3187417150275,0.0,"(1, 0)"
7,1,0,1,0,2,1,0,2,2,,2.0,0.5,0.0,2@,0.0,0.0,4132.5857175,48.3223365000003,50.3384609910863,51.6238585999999,51.4245260999996,1.08606510891332,53.1238971000002,53.9060991213009,3,0.714285714285714,0.285714285714286,6,2,1,54.9060991213009,1.0,"(2, 2)"
8,1,0,1,0,2,1,0,2,1,,0.0,0.5,0.0,2@,0.0,0.0,4132.5857175,54.9106117000001,57.1260415874267,58.2401363999998,58.0425079999995,0.916466412572845,59.7401742000002,61.5118658568081,3,0.625,0.375,6,3,1,62.5118658568081,1.0,"(1, 0)"
9,1,0,1,0,2,1,0,2,2,,2.0,0.5,0.0,4$,1.0,1.0,4132.5857175,62.5161884999998,65.2554097696266,66.8205516999997,66.6145310000002,1.3591212303736,68.3205895999999,69.0733737075516,3,0.666666666666667,0.333333333333333,6,4,1,70.0733737075516,0.0,"(2, 2)"
10,1,0,1,0,2,1,0,2,0,,0.0,0.35,1.0,2@,1.0,1.0,4132.5857175,70.0898560999995,74.5949683609306,76.1681935999995,75.9705044000002,1.37553603906963,77.6682334999996,78.1753396762806,3,0.7,0.3,7,4,1,79.1753396762806,1.0,"(0, 0)"
11,1,0,1,0,2,1,0,2,2,,1.0,0.35,1.0,4$,0.0,1.0,4132.5857175,79.1816822000001,82.1925159213279,83.4786292999997,83.2754937999998,1.08297787867195,84.9786684000001,85.7322910609528,3,0.636363636363636,0.363636363636364,8,4,0,86.7322910609528,0.0,"(2, 1)"
12,1,0,1,0,2,1,0,2,0,,2.0,0.15,1.0,2@,1.0,1.0,4132.5857175,86.7386489,90.9216677095519,92.4928570000002,92.6036506,1.68198289044813,93.9930537,94.4918790604415,3,0.666666666666667,0.333333333333333,8,5,1,95.4918790604415,1.0,"(0, 2)"
13,1,0,1,0,2,1,0,2,1,,0.0,0.5,0.0,4$,1.0,0.0,4132.5857175,95.4967588999998,99.9991499998723,101.18047,100.977495,0.978345000127774,102.6805103,103.616898312722,3,0.692307692307692,0.307692307692308,9,5,0,104.616898312722,0.0,"(1, 0)"
14,1,0,1,0,2,1,0,2,2,,2.0,0.5,0.0,4$,1.0,1.0,4132.5857175,104.621843899999,109.558092272715,110.7523831,110.5544906,0.996398327284624,112.252422,113.404564477453,3,0.714285714285714,0.285714285714286,10,5,1,114.404564477453,0.0,"(2, 2)"
15,1,0,1,0,2,1,0,2,1,,1.0,0.15,1.0,2@,1.0,1.0,4132.5857175,114.4142572,117.864815318204,118.8753716,118.6724612,0.807645881795906,120.3754109,121.510519594178,3,0.733333333333333,0.266666666666667,11,5,1,122.510519594178,1.0,"(1, 1)"
16,1,0,1,0,2,1,0,2,0,,0.0,0.35,1.0,4$,0.0,0.0,4132.5857175,122.5218047,127.212110623699,128.595560799999,128.397685899999,1.18557527630037,130.0955988,131.242766474248,3,0.6875,0.3125,12,5,1,132.242766474248,0.0,"(0, 0)"
17,1,0,1,0,2,1,0,2,1,,2.0,0.35,1.0,4$,0.0,0.0,4132.5857175,132.2473848,134.456632164839,135.7458803,135.5484551,1.09182293516096,137.2459204,138.025970596773,3,0.647058823529412,0.352941176470588,12,6,1,139.025970596773,0.0,"(1, 2)"
18,1,0,1,0,2,1,0,2,2,,0.0,0.15,1.0,4$,0.0,0.0,4132.5857175,139.037085,143.506572479278,145.0677145,144.8696368,1.36306432072251,146.5677532,147.061870814478,3,0.611111111111111,0.388888888888889,12,7,1,148.061870814478,0.0,"(2, 0)"
19,1,0,1,0,2,1,0,2,0,,1.0,0.5,0.0,4$,1.0,1.0,4132.5857175,148.0788417,152.077159015242,153.6482917,153.7527508,1.67559178475858,155.1483341,156.007414462753,3,0.631578947368421,0.368421052631579,12,8,1,157.007414462753,0.0,"(0, 1)"
20,1,0,1,0,2,1,0,2,1,,2.0,0.35,1.0,2@,1.0,1.0,4132.5857175,157.0203696,161.193717045546,162.1077085,161.906717,0.712999954454062,163.6077477,165.16545787319,3,0.65,0.35,13,8,1,166.16545787319,1.0,"(1, 2)"
21,1,0,1,0,2,1,0,2,0,,1.0,0.5,0.0,4$,1.0,1.0,4132.5857175,166.1788847,169.554481846581,170.7331975,170.5237099,0.969228053419101,172.2332395,173.324941581913,3,0.666666666666667,0.333333333333333,14,8,1,174.324941581913,0.0,"(0, 1)"
22,1,0,1,0,2,1,0,2,2,,2.0,0.5,0.0,2@,0.0,0.0,4132.5857175,174.3362977,176.726671385305,177.6316977,177.4344488,0.707777414694647,179.131738399999,180.27590163608,3,0.636363636363636,0.363636363636364,15,8,1,181.27590163608,1.0,"(2, 2)"
23,1,0,1,0,2,1,0,2,0,,0.0,0.35,1.0,4$,0.0,0.0,4132.5857175,181.292909199999,184.41883112315,186.0248977,185.8275772,1.40874607684964,187.5249362,188.65651785497,3,0.608695652173913,0.391304347826087,15,9,1,189.65651785497,0.0,"(0, 0)"
24,1,0,1,0,2,1,0,2,2,,1.0,0.35,1.0,4$,0.0,0.0,4132.5857175,189.667222399999,191.97953688779,193.2003718,193.0036514,1.02411451220996,194.7004114,196.35374769972,3,0.583333333333333,0.416666666666667,15,10,1,197.35374769972,0.0,"(2, 1)"
25,1,0,1,0,2,1,0,2,0,,2.0,0.15,1.0,4$,0.0,0.0,4132.5857175,197.3575897,199.987675845186,201.5794309,201.3765803,1.38890445481411,203.0794714,203.773947748818,3,0.56,0.44,15,11,1,204.773947748818,0.0,"(0, 2)"
26,1,0,1,0,2,1,0,2,1,,0.0,0.5,0.0,4$,1.0,1.0,4132.5857175,204.7812206,208.502354347798,209.7883397,209.584603,1.082248652202,211.2883798,212.028855604886,3,0.576923076923077,0.423076923076923,15,12,1,213.028855604886,0.0,"(1, 0)"
27,1,0,1,0,2,1,0,2,2,,1.0,0.35,1.0,4$,0.0,0.0,4132.5857175,213.038856,216.362886306419,217.7525526,217.5506926,1.18780629358116,219.2525923,220.795780282235,3,0.555555555555556,0.444444444444444,16,12,1,221.795780282235,0.0,"(2, 1)"
