trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,2,1,0,2,1,0,0,,2.0,0.5,0.0,4$,0.0,0.0,22754.9891055,0.0065848999984154,2.2075770762458,3.80392559999746,4.73980169999777,2.53222462375197,5.30405869999959,6.24258346308852,3,0.0,1.0,1,1,1,7.24258346308852,1.0,"(0, 2)"
2,1,0,2,1,0,2,1,0,1,,1.0,0.5,0.0,2@,1.0,0.0,22754.9891055,7.25394799999776,11.4497872554493,12.9779841999989,12.7348061999983,1.28501894454894,14.4780729999984,15.3984944355943,3,0.5,0.5,1,2,0,16.3984944355943,0.0,"(1, 1)"
3,1,0,2,1,0,2,1,0,2,,2.0,0.35,1.0,2@,0.0,1.0,22754.9891055,16.4124544000006,19.874513135579,21.457100399999,21.6958688999985,1.82135576441942,22.9571990999975,23.9684477573428,3,0.333333333333333,0.666666666666667,2,2,0,24.9684477573428,0.0,"(2, 2)"
4,1,0,2,1,0,2,1,0,0,,1.0,0.35,1.0,2@,0.0,0.0,22754.9891055,24.9722436999982,28.4336039878581,30.0350255999983,30.0351058999986,1.60150191214052,31.5351134999983,32.4160738203464,3,0.25,0.75,2,3,1,33.4160738203464,0.0,"(0, 1)"
5,1,0,2,1,0,2,1,0,2,,0.0,0.5,0.0,2@,1.0,1.0,22754.9891055,33.4281800999997,36.071813325947,37.5330218999989,37.3217521000006,1.24993877405359,39.0332796000002,39.9488725867741,3,0.4,0.6,2,4,1,40.9488725867741,0.0,"(2, 0)"
6,1,0,2,1,0,2,1,0,1,,1.0,0.5,0.0,4$,0.0,0.0,22754.9891055,40.9531142999986,44.4735408320303,46.1183345999998,45.9107699999986,1.43722916796833,47.6183738,48.7433302352511,3,0.333333333333333,0.666666666666667,3,4,1,49.7433302352511,1.0,"(1, 1)"
7,1,0,2,1,0,2,1,0,0,,2.0,0.5,0.0,4$,0.0,0.0,22754.9891055,49.7599517999988,52.620980436408,54.1916259999998,54.301954999999,1.68097456359101,55.6918860000005,56.1993161833743,3,0.285714285714286,0.714285714285714,3,5,1,57.1993161833743,1.0,"(0, 2)"
8,1,0,2,1,0,2,1,0,2,,0.0,0.5,0.0,2@,1.0,1.0,22754.9891055,57.2169342999987,60.1618571999825,61.7328350999996,62.2651698000009,2.1033126000184,63.2328749000008,63.8007986193261,3,0.375,0.625,3,6,1,64.8007986193261,0.0,"(2, 0)"
9,1,0,2,1,0,2,1,0,1,,1.0,0.5,0.0,4$,0.0,0.0,22754.9891055,64.8071240999998,67.114048802614,68.6850683999983,68.761593700001,1.64754489738698,70.1851074999977,71.4522449229371,3,0.333333333333333,0.666666666666667,4,6,1,72.4522449229371,1.0,"(1, 1)"
10,1,0,2,1,0,2,1,0,2,,2.0,0.35,1.0,2@,0.0,0.0,22754.9891055,72.4641731999982,74.6917093228803,76.1127658000005,75.903742399998,1.21203307711767,77.6128056999987,78.4989644443449,3,0.3,0.7,4,7,1,79.4989644443449,0.0,"(2, 2)"
11,1,0,2,1,0,2,1,0,0,,1.0,0.35,1.0,4$,1.0,1.0,22754.9891055,79.5041364999997,82.850498611886,84.4208364000006,84.5633218000003,1.71282318811427,85.9208776999985,86.5467098606096,3,0.363636363636364,0.636363636363636,4,8,1,87.5467098606096,1.0,"(0, 1)"
12,1,0,2,1,0,2,1,0,1,,0.0,0.35,1.0,2@,0.0,0.0,22754.9891055,87.5616262000003,90.7218152894457,92.2920095000009,92.8071573999987,2.08534211055303,93.7920491000004,94.944295922749,3,0.333333333333333,0.666666666666667,5,8,1,95.944295922749,0.0,"(1, 0)"
