trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,1,0,2,2,1,0,1,,0.0,0.35,1.0,,,,24646.9671909,0.0035392999998293,2.2075770762458,3.80461320000177,5.20775990000038,,5.30469540000195,6.24258346308852,3,,,1,1,1,7.24258346308852,,"(1, 0)"
2,1,0,1,0,2,2,1,0,2,,2.0,0.35,1.0,4$,0.0,0.0,24646.9671909,7.25356930000271,11.4497872554493,12.6240986000012,11.8605867000006,0.41079944455123,14.1241843999996,15.3984944355943,3,0.0,1.0,1,1,1,16.3984944355943,0.0,"(2, 2)"
3,1,0,1,0,2,2,1,0,1,,0.0,0.35,1.0,4$,0.0,0.0,24646.9671909,16.4121238000007,19.874513135579,21.4574079000013,21.2487513000015,1.37423816442242,22.9574936000026,23.9684477573428,3,0.0,1.0,1,2,1,24.9684477573428,0.0,"(1, 0)"
4,1,0,1,0,2,2,1,0,0,,1.0,0.35,1.0,4$,0.0,0.0,24646.9671909,24.9725806000024,28.4336039878581,30.0324213000022,30.0347091000003,1.60110511214225,31.5325067000012,32.4160738203464,3,0.0,1.0,1,3,1,33.4160738203464,0.0,"(0, 1)"
5,1,0,1,0,2,2,1,0,2,,0.0,0.5,0.0,4$,1.0,1.0,24646.9671909,33.4279377000021,36.071813325947,37.6444985000016,38.0205787000014,1.94876537405435,39.1447547999996,39.9488725867741,3,0.25,0.75,1,4,1,40.9488725867741,0.0,"(2, 0)"
6,1,0,1,0,2,2,1,0,1,,1.0,0.5,0.0,2@,0.0,1.0,24646.9671909,40.9529055000021,44.4735408320303,46.0923462000028,45.8903927000028,1.41685186797258,47.5925401999993,48.7433302352511,3,0.2,0.8,2,4,0,49.7433302352511,1.0,"(1, 1)"
7,1,0,1,0,2,2,1,0,0,,0.0,0.15,1.0,4$,0.0,0.0,24646.9671909,49.7597215999995,52.620980436408,54.029911900001,53.8307079000006,1.20972746359257,55.5299521000015,56.1993161833743,3,0.166666666666667,0.833333333333333,2,5,1,57.1993161833743,0.0,"(0, 0)"
8,1,0,1,0,2,2,1,0,1,,2.0,0.15,1.0,4$,0.0,0.0,24646.9671909,57.2165134999996,60.1618571999825,61.7248407000006,61.5246934000024,1.36283620001996,63.2249144000016,63.8007986193261,3,0.142857142857143,0.857142857142857,2,6,1,64.8007986193261,0.0,"(1, 2)"
9,1,0,1,0,2,2,1,0,0,,1.0,0.35,1.0,4$,0.0,0.0,24646.9671909,64.8067875000015,67.114048802614,68.6853222999998,69.3767246999996,2.26267589738563,70.1854540000022,71.4522449229371,3,0.125,0.875,2,7,1,72.4522449229371,0.0,"(0, 1)"
10,1,0,1,0,2,2,1,0,1,,0.0,0.35,1.0,4$,0.0,1.0,24646.9671909,72.4640660000005,74.6917093228803,76.3397910000022,76.1415551999999,1.44984587711951,77.8398318,78.4989644443449,3,0.111111111111111,0.888888888888889,2,8,0,79.4989644443449,0.0,"(1, 0)"
11,1,0,1,0,2,2,1,0,2,,1.0,0.15,1.0,2@,1.0,1.0,24646.9671909,79.5038067999994,82.850498611886,84.4096849000016,84.2105935,1.36009488811396,85.9097245000012,86.5467098606096,3,0.2,0.8,2,9,1,87.5467098606096,1.0,"(2, 1)"
12,1,0,1,0,2,2,1,0,0,,2.0,0.5,0.0,4$,1.0,1.0,24646.9671909,87.5613145000025,90.7218152894457,92.3736635000023,92.1756131000002,1.45379781055453,93.8737027999996,94.944295922749,3,0.272727272727273,0.727272727272727,3,9,1,95.944295922749,0.0,"(0, 2)"
13,1,0,1,0,2,2,1,0,2,,0.0,0.5,0.0,2@,0.0,0.0,24646.9671909,95.9523642999993,99.828782259352,101.2255902,101.026754500002,1.19797224065042,102.725629500001,103.88171070371,3,0.25,0.75,4,9,1,104.88171070371,1.0,"(2, 0)"
14,1,0,1,0,2,2,1,0,1,,1.0,0.5,0.0,4$,1.0,1.0,24646.9671909,104.893980700002,107.568732587984,109.139573100001,109.226661200002,1.65792861201771,110.6396126,111.197496366098,3,0.307692307692308,0.692307692307692,4,10,1,112.197496366098,0.0,"(1, 1)"
15,1,0,1,0,2,2,1,0,2,,2.0,0.35,1.0,4$,0.0,0.0,24646.9671909,112.201758400002,114.469207160171,116.040266,116.241733300001,1.77252613983001,117.540304400001,118.411607427934,3,0.285714285714286,0.714285714285714,5,10,1,119.411607427934,0.0,"(2, 2)"
16,1,0,1,0,2,2,1,0,1,,1.0,0.5,0.0,4$,1.0,1.0,24646.9671909,119.424113700003,122.587570293141,124.1922973,123.993753800001,1.40618350686054,125.692336600001,126.380147302854,3,0.333333333333333,0.666666666666667,5,11,1,127.380147302854,0.0,"(1, 1)"
17,1,0,1,0,2,2,1,0,2,,0.0,0.5,0.0,2@,0.0,1.0,24646.9671909,127.383693600001,129.674011621282,131.144055299999,130.939649399999,1.26563777871706,132.644096100001,133.519659212969,3,0.3125,0.6875,6,11,0,134.519659212969,1.0,"(2, 0)"
18,1,0,1,0,2,2,1,0,0,,2.0,0.5,0.0,4$,1.0,1.0,24646.9671909,134.523329600001,138.730352666978,140.300773900002,140.750728200001,2.02037553302216,141.800815500002,142.277858433583,3,0.352941176470588,0.647058823529412,6,12,1,143.277858433583,0.0,"(0, 2)"
19,1,0,1,0,2,2,1,0,2,,0.0,0.5,0.0,2@,0.0,0.0,24646.9671909,143.281445600001,145.44900744261,146.629109100002,146.430520500002,0.981513057391567,148.129148800002,149.183905852649,3,0.333333333333333,0.666666666666667,7,12,1,150.183905852649,1.0,"(2, 0)"
20,1,0,1,0,2,2,1,0,0,,2.0,0.5,0.0,4$,1.0,0.0,24646.9671909,150.187582500002,152.398598087013,154.0620261,153.851638700002,1.45304061298884,155.562065600003,156.332602241735,3,0.368421052631579,0.631578947368421,7,13,0,157.332602241735,0.0,"(0, 2)"
21,1,0,1,0,2,2,1,0,1,,1.0,0.5,0.0,4$,1.0,1.0,24646.9671909,157.342553900002,159.826947583915,161.380136400003,161.177603800003,1.35065621608737,162.880175800001,163.497587304097,3,0.4,0.6,8,13,1,164.497587304097,0.0,"(1, 1)"
22,1,0,1,0,2,2,1,0,0,,2.0,0.5,0.0,4$,1.0,1.0,24646.9671909,164.501244499999,168.47383192732,169.913850100002,169.715640500002,1.2418085726822,171.4138896,172.811307296703,3,0.428571428571429,0.571428571428571,9,13,1,173.811307296703,0.0,"(0, 2)"
23,1,0,1,0,2,2,1,0,1,,1.0,0.5,0.0,2@,0.0,0.0,24646.9671909,173.824594199999,177.768982710058,179.009460000001,178.810529400002,1.04154668994306,180.5095005,181.338545443687,3,0.409090909090909,0.590909090909091,10,13,1,182.338545443687,1.0,"(1, 1)"
24,1,0,1,0,2,2,1,0,2,,0.0,0.5,0.0,4$,1.0,1.0,24646.9671909,182.349005700002,184.896152566715,186.466178000002,186.631357400001,1.73520483328684,187.966217100002,188.623443074601,3,0.434782608695652,0.565217391304348,10,14,1,189.623443074601,0.0,"(2, 0)"
