trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,2,0,1,1,2,0,2,,1.0,0.35,1.0,4$,0.0,0.0,22331.1461002,0.0027088999995612,3.47770013161789,5.0844932,5.51942160000181,2.04172146838391,6.58459719999883,7.22228203105988,3,0.0,1.0,1,1,1,8.22228203105988,0.0,"(2, 1)"
2,1,0,2,0,1,1,2,0,0,,2.0,0.35,1.0,4$,0.0,0.0,22331.1461002,8.23665790000086,11.1003976227657,12.6962014000019,13.6933897999988,2.5929921772331,14.1963173000004,15.2427180700288,3,0.0,1.0,1,2,1,16.2427180700288,0.0,"(0, 2)"
3,1,0,2,0,1,1,2,0,1,,0.0,0.35,1.0,,,,22331.1461002,16.2479985999998,19.3722912481753,20.9631743999998,22.3723634999988,,22.4632501000015,23.0626988662298,3,0.0,1.0,1,3,1,24.0626988662298,,"(1, 0)"
4,1,0,2,0,1,1,2,0,2,,2.0,0.15,1.0,4$,0.0,1.0,22331.1461002,24.0680038999999,27.5961483379469,29.1772056000009,29.9226813999994,2.32653306205248,30.677292299999,31.7658337285575,3,0.0,1.0,1,3,0,32.7658337285575,0.0,"(2, 2)"
5,1,0,2,0,1,1,2,0,0,,1.0,0.5,0.0,2@,0.0,0.0,22331.1461002,32.775988100002,35.1763284688313,36.7778007999987,37.1404239000003,1.96409543116897,38.2780702999989,38.8159542033063,3,0.0,1.0,1,4,1,39.8159542033063,1.0,"(0, 1)"
6,1,0,2,0,1,1,2,0,1,,2.0,0.5,0.0,4$,1.0,1.0,22331.1461002,39.8324831999998,42.2580048041564,43.8291328000014,44.7916110000006,2.53360619584419,45.3292106000008,45.9824934732169,3,0.2,0.8,1,5,1,46.9824934732169,0.0,"(1, 2)"
7,1,0,2,0,1,1,2,0,0,,1.0,0.5,0.0,2@,0.0,0.0,22331.1461002,46.9891366000011,51.4684016129395,53.0390828000018,53.0810081000018,1.61260648706229,54.5391227,55.7760607333694,3,0.166666666666667,0.833333333333333,2,5,1,56.7760607333694,1.0,"(0, 1)"
8,1,0,2,0,1,1,2,0,1,,2.0,0.5,0.0,4$,1.0,0.0,22331.1461002,56.7815709999995,59.4676873441203,61.0382396999994,61.749908400001,2.28222105588065,62.5382804000001,63.700899745385,3,0.285714285714286,0.714285714285714,2,6,0,64.700899745385,0.0,"(1, 2)"
9,1,0,2,0,1,1,2,0,0,,0.0,0.15,1.0,4$,0.0,0.0,22331.1461002,64.7055338999999,68.3234503465719,69.8943381999998,70.7156756000004,2.39222525342848,71.3943773999999,72.5387194826799,3,0.25,0.75,3,6,1,73.5387194826799,0.0,"(0, 0)"
10,1,0,2,0,1,1,2,0,1,,2.0,0.5,0.0,,,,22331.1461002,73.5471332000016,77.2160862214805,78.7869049000001,80.2162477999991,,80.2869580000006,80.7909744867393,3,0.25,0.75,3,7,1,81.7909744867393,,"(1, 2)"
11,1,0,2,0,1,1,2,0,2,,0.0,0.5,0.0,2@,0.0,0.0,22331.1461002,81.8047096000009,83.8103209850306,85.381141599999,86.0195456000001,2.20922461496957,86.8811803999997,87.7330757702948,3,0.222222222222222,0.777777777777778,3,7,1,88.7330757702948,1.0,"(2, 0)"
12,1,0,2,0,1,1,2,0,1,,1.0,0.15,1.0,4$,0.0,0.0,22331.1461002,88.7445296000005,91.6483885658781,93.2190192999988,94.3785807999993,2.7301922341212,94.7190671999997,95.5612116684824,3,0.2,0.8,3,8,1,96.5612116684824,0.0,"(1, 1)"
13,1,0,2,0,1,1,2,0,2,,0.0,0.5,0.0,4$,1.0,1.0,22331.1461002,96.5683726999996,101.349533172408,102.919650399999,104.034983400001,2.68545022759281,104.419690300001,105.473957006263,3,0.272727272727273,0.727272727272727,3,9,1,106.473957006263,0.0,"(2, 0)"
14,1,0,2,0,1,1,2,0,0,,2.0,0.35,1.0,2@,1.0,1.0,22331.1461002,106.478262799999,108.873211364938,110.444205100001,111.022616000002,2.14940463506355,111.944243800001,112.469730840734,3,0.333333333333333,0.666666666666667,4,9,1,113.469730840734,1.0,"(0, 2)"
15,1,0,2,0,1,1,2,0,2,,1.0,0.35,1.0,2@,1.0,0.0,22331.1461002,113.484091400001,116.104077388172,117.6748133,118.2080403,2.10396291182769,119.174852100001,120.129741984689,3,0.384615384615385,0.615384615384615,5,9,0,121.129741984689,1.0,"(2, 1)"
16,1,0,2,0,1,1,2,0,1,,2.0,0.5,0.0,2@,0.0,0.0,22331.1461002,121.141071800001,124.826389406197,126.397668199999,127.015497200002,2.18910779380531,127.897708700002,128.820503560259,3,0.357142857142857,0.642857142857143,6,9,1,129.820503560259,1.0,"(1, 2)"
17,1,0,2,0,1,1,2,0,2,,0.0,0.5,0.0,4$,1.0,0.0,22331.1461002,129.832571899999,134.19941888961,135.770078699999,137.192339000001,2.99292011039142,137.270104499999,137.935193115965,3,0.4,0.6,6,10,0,138.935193115965,0.0,"(2, 0)"
