trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,1,2,0,2,0,1,0,1.0,,0.5,0.0,4$,1.0,0.0,21143.937511,0.0027055999998992,3.47770013161789,4.98575250000067,5.51208480000059,2.0343846683827,6.48584720000144,7.22228203105988,3,1.0,0.0,1,1,0,8.22228203105988,0.0,"(0, 1)"
2,1,0,1,2,0,2,0,1,1,0.0,,0.35,1.0,2@,1.0,1.0,21143.937511,8.23852360000092,11.1003976227657,12.6037987999989,12.9003793000011,1.79998167723534,14.1039033000015,15.2427180700288,3,1.0,0.0,2,1,1,16.2427180700288,1.0,"(1, 0)"
3,1,0,1,2,0,2,0,1,0,2.0,,0.35,1.0,4$,0.0,0.0,21143.937511,16.247733799999,19.3722912481753,20.875166400001,21.2130082000003,1.84071695182502,22.3752606000016,23.0626988662298,3,0.666666666666667,0.333333333333333,3,1,1,24.0626988662298,0.0,"(0, 2)"
4,1,0,1,2,0,2,0,1,1,0.0,,0.35,1.0,4$,0.0,0.0,21143.937511,24.0697547999989,27.5961483379469,29.0986391000006,29.3073703000009,1.71122196205397,30.5987249999998,31.7658337285575,3,0.5,0.5,3,2,1,32.7658337285575,0.0,"(1, 0)"
5,1,0,1,2,0,2,0,1,2,2.0,,0.15,1.0,2@,1.0,0.0,21143.937511,32.7778474000006,35.1763284688313,36.6792892999983,36.9447800999988,1.76845163116741,38.1795466000003,38.8159542033063,3,0.6,0.4,3,3,0,39.8159542033063,1.0,"(2, 2)"
6,1,0,1,2,0,2,0,1,0,0.0,,0.15,1.0,2@,1.0,1.0,21143.937511,39.8198804999993,42.2580048041527,43.760624999999,44.1380516999998,1.88004689584704,45.2606645000014,45.9824934732169,3,0.666666666666667,0.333333333333333,4,3,1,46.9824934732169,1.0,"(0, 0)"
7,1,0,1,2,0,2,0,1,2,1.0,,0.35,1.0,4$,0.0,0.0,21143.937511,46.9911377999997,51.4684016129395,52.9705563999996,53.3360829999983,1.86768138705884,54.4705950999996,55.7760607333694,3,0.571428571428571,0.428571428571429,5,3,1,56.7760607333694,0.0,"(2, 1)"
8,1,0,1,2,0,2,0,1,1,2.0,,0.5,0.0,2@,0.0,0.0,21143.937511,56.7834161999999,59.4676873441203,60.9700730000004,61.4259319000012,1.95824455588081,62.4701122000006,63.700899745385,3,0.5,0.5,5,4,1,64.700899745385,1.0,"(1, 2)"
9,1,0,1,2,0,2,0,1,0,1.0,,0.5,0.0,2@,0.0,0.0,21143.937511,64.7074372999996,68.3234503465719,69.8257831999981,70.8080211999986,2.4845708534267,71.3258215999995,72.5387194826799,3,0.444444444444444,0.555555555555556,5,5,1,73.5387194826799,1.0,"(0, 1)"
10,1,0,1,2,0,2,0,1,2,0.0,,0.5,0.0,4$,1.0,1.0,21143.937511,73.5490137000015,77.2160862214805,78.718418299999,79.4110690999987,2.1949828785182,80.2184578000015,80.7909744867393,3,0.5,0.5,5,6,1,81.7909744867393,0.0,"(2, 0)"
11,1,0,1,2,0,2,0,1,1,1.0,,0.15,1.0,4$,0.0,0.0,21143.937511,81.8066755,83.8103209850306,85.3127615999983,86.0392227999982,2.22890181496768,86.8127969999987,87.7330757702948,3,0.454545454545455,0.545454545454545,6,6,1,88.7330757702948,0.0,"(1, 1)"
12,1,0,1,2,0,2,0,1,2,0.0,,0.5,0.0,4$,1.0,0.0,21143.937511,88.7464542000016,91.6483885658781,93.150775099999,93.4668646999999,1.81847613412174,94.6508136999983,95.5612116684824,3,0.5,0.5,6,7,0,96.5612116684824,0.0,"(2, 0)"
13,1,0,1,2,0,2,0,1,0,2.0,,0.35,1.0,4$,0.0,0.0,21143.937511,96.5702254999997,101.349533172408,102.852501199999,103.3511722,2.00163902759232,104.352540600001,105.473957006263,3,0.461538461538462,0.538461538461538,7,7,1,106.473957006263,0.0,"(0, 2)"
14,1,0,1,2,0,2,0,1,1,0.0,,0.35,1.0,4$,0.0,0.0,21143.937511,106.479551699998,108.873211364938,110.375455099998,111.207150599999,2.33393923506083,111.875494600001,112.469730840734,3,0.428571428571429,0.571428571428571,7,8,1,113.469730840734,0.0,"(1, 0)"
15,1,0,1,2,0,2,0,1,2,1.0,,0.35,1.0,2@,1.0,1.0,21143.937511,113.485989100001,116.104077388172,117.606355100001,117.910469999999,1.8063926118266,119.106393800001,120.129741984689,3,0.466666666666667,0.533333333333333,7,9,1,121.129741984689,1.0,"(2, 1)"
16,1,0,1,2,0,2,0,1,1,2.0,,0.5,0.0,2@,0.0,0.0,21143.937511,121.143063799998,124.826389406197,126.3289477,127.006020699999,2.17963129380223,127.8289874,128.820503560259,3,0.4375,0.5625,8,9,1,129.820503560259,1.0,"(1, 2)"
17,1,0,1,2,0,2,0,1,2,0.0,,0.5,0.0,4$,1.0,1.0,21143.937511,129.834545900001,134.19941888961,135.702245,135.9564235,1.75700461039014,137.202284399998,137.935193115965,3,0.470588235294118,0.529411764705882,8,10,1,138.935193115965,0.0,"(2, 0)"
18,1,0,1,2,0,2,0,1,0,1.0,,0.5,0.0,2@,0.0,0.0,21143.937511,138.9428926,142.597129984188,144.099493999998,144.5701247,1.97299471581209,145.599531899999,147.093492768221,3,0.444444444444444,0.555555555555556,9,10,1,148.093492768221,1.0,"(0, 1)"
19,1,0,1,2,0,2,0,1,2,0.0,,0.5,0.0,4$,1.0,1.0,21143.937511,148.101515300001,150.188198734526,151.690603300001,151.906883200001,1.71868446547523,153.190642599999,154.254664690532,3,0.473684210526316,0.526315789473684,9,11,1,155.254664690532,0.0,"(2, 0)"
