trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,,,,10613.0425382,0.0028414999997039,3.47770013161789,4.98541000000114,6.47783789999994,,6.48548230000051,7.2222820310617,3,,,1,1,0,8.2222820310617,,"(1, 2)"
2,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,2@,0.0,0.0,10613.0425382,8.23491509999985,11.1003976227657,12.6037256,13.3217357000012,2.22133807723549,14.1038313000008,15.2427180700288,3,0.0,1.0,1,1,1,16.2427180700288,1.0,"(0, 0)"
3,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,,,,10613.0425382,16.259151100001,19.3722912481735,20.8746845000005,22.3726846000009,,22.3747464000007,23.0626988662316,3,0.0,1.0,1,2,1,24.0626988662316,,"(1, 2)"
4,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,2@,0.0,0.0,10613.0425382,24.0830954000012,27.5961483379469,29.0987970000006,29.9033058000005,2.30715746205351,30.5988834,31.7658337285593,3,0.0,1.0,1,2,1,32.7658337285593,1.0,"(0, 0)"
5,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,,,,10613.0425382,32.7743886000007,35.1763284688313,36.679664700001,38.1768344000011,,38.1798441999999,38.8159542033063,3,0.0,1.0,1,3,1,39.8159542033063,,"(1, 1)"
6,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,,,,10613.0425382,39.8308878000007,42.2580048041546,43.7602713000015,45.2580544000011,,45.2602863000011,45.9824934732169,3,0.0,1.0,1,3,0,46.9824934732169,,"(2, 0)"
7,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,,,,10613.0425382,46.9875084000014,51.4684016129413,52.9713330000013,54.4685730000001,,54.4713495000015,55.7760607333712,3,0.0,1.0,1,3,1,56.7760607333712,,"(1, 2)"
8,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,2@,1.0,1.0,10613.0425382,56.7798416000005,59.4676873441222,60.9580507999999,59.4783023,0.010614955877827,62.4582253000008,63.700899745385,3,0.333333333333333,0.666666666666667,1,3,1,64.700899745385,1.0,"(2, 0)"
9,1,0,0,2,1,2,1,0,0,1.0,,0.15,1.0,,,,10613.0425382,64.7049609000005,68.3234503465719,69.8259384000012,71.3238097000012,,71.3259532000011,72.5387194826799,3,0.333333333333333,0.666666666666667,2,3,1,73.5387194826799,,"(0, 1)"
10,1,0,0,2,1,2,1,0,2,2.0,,0.15,1.0,,,,10613.0425382,73.5453806000005,77.2160862214823,78.7184066999998,80.2164866000003,,80.2184209000006,80.7909744867393,3,0.333333333333333,0.666666666666667,2,3,1,81.7909744867393,,"(2, 2)"
11,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,,,,10613.0425382,81.8032199000008,83.8103209850287,85.312409600001,86.8103428000013,,86.8124235000014,87.7330757702948,3,0.333333333333333,0.666666666666667,2,3,1,88.7330757702948,,"(0, 0)"
12,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,,,,10613.0425382,88.7428591000007,91.6483885658781,93.1512510000011,94.6484043,,94.6512649000015,95.5612116684842,3,0.333333333333333,0.666666666666667,2,3,1,96.5612116684842,,"(2, 1)"
13,1,0,0,2,1,2,1,0,1,0.0,,0.15,1.0,,,,10613.0425382,96.5667964000004,101.349533172408,102.8518824,104.349546400001,,104.351897300001,105.473957006261,3,0.333333333333333,0.666666666666667,2,3,1,106.473957006261,,"(1, 0)"
14,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,2@,1.0,1.0,10613.0425382,106.477464000001,108.87321136494,110.375700000001,111.1710659,2.29785453505974,111.875769,112.469730840734,3,0.5,0.5,2,3,1,113.469730840734,1.0,"(0, 2)"
15,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,2@,0.0,0.0,10613.0425382,113.4824828,116.104077388172,117.606581,118.556704800001,2.45262741182887,119.106675200001,120.129741984687,3,0.4,0.6,3,3,1,121.129741984687,1.0,"(2, 1)"
16,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,4$,1.0,1.0,10613.0425382,121.139637400001,124.826389406197,126.329119100001,126.5274575,1.70106809380377,127.829157600001,128.82050356026,3,0.5,0.5,3,4,1,129.82050356026,0.0,"(0, 0)"
17,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,2@,0.0,0.0,10613.0425382,129.830927700001,134.19941888961,135.7018735,136.0358865,1.83646761039017,137.201912800001,137.935193115965,3,0.428571428571429,0.571428571428571,4,4,1,138.935193115965,1.0,"(2, 1)"
18,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,2@,1.0,1.0,10613.0425382,138.939306,142.597129984186,144.099270300001,144.587755100001,1.99062511581542,145.5993093,147.093492768221,3,0.5,0.5,4,5,1,148.093492768221,1.0,"(0, 2)"
19,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,4$,0.0,1.0,10613.0425382,148.0978818,150.188198734524,151.691077200001,152.152892300001,1.96469356547641,153.191117600001,154.254664690532,3,0.444444444444444,0.555555555555556,5,5,0,155.254664690532,0.0,"(2, 0)"
20,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,2@,1.0,0.0,10613.0425382,155.271249200001,159.323195201641,160.8257574,161.127803000001,1.80460779835994,162.325796900001,163.31665954631,3,0.5,0.5,5,6,0,164.31665954631,1.0,"(1, 1)"
21,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,164.3296933,167.906970439995,169.409508700001,169.830753100001,1.9237826600056,170.9095605,171.554844434288,3,0.454545454545455,0.545454545454545,6,6,1,172.554844434288,0.0,"(2, 0)"
22,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,2@,0.0,1.0,10613.0425382,172.570532,174.821857776726,176.324074600001,177.230733800001,2.4088760232753,177.8241146,178.805843788523,3,0.416666666666667,0.583333333333333,6,7,0,179.805843788523,1.0,"(1, 2)"
23,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,4$,1.0,1.0,10613.0425382,179.8105175,182.23581163173,183.738362400001,184.180393600001,1.94458196827145,185.2384258,186.472757738997,3,0.461538461538462,0.538461538461538,6,8,1,187.472757738997,0.0,"(2, 1)"
24,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,187.4843428,190.134337197493,191.6367379,192.063766400001,1.92942920250789,193.136776200001,194.000902188844,3,0.428571428571429,0.571428571428571,7,8,1,195.000902188844,0.0,"(0, 2)"
25,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,195.0082521,199.331851360301,200.834237500001,200.940717000001,1.60886563970053,202.334276900001,202.947099798663,3,0.4,0.6,7,9,1,203.947099798663,0.0,"(1, 1)"
26,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,4$,1.0,0.0,10613.0425382,203.9509074,208.335738915708,209.8380418,210.1308295,1.79509058429176,211.338081400001,212.832629255865,3,0.4375,0.5625,7,10,0,213.832629255865,0.0,"(0, 0)"
27,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,4$,1.0,1.0,10613.0425382,213.8419983,217.530857753145,219.0333847,219.644030400001,2.11317264685567,220.5334241,221.04070085977,3,0.470588235294118,0.529411764705882,8,10,1,222.04070085977,0.0,"(1, 2)"
28,1,0,0,2,1,2,1,0,0,1.0,,0.15,1.0,2@,1.0,1.0,10613.0425382,222.0497662,226.893352375404,228.3954386,229.400895800001,2.50754342459732,229.895475000001,231.341027035625,3,0.5,0.5,9,10,1,232.341027035625,1.0,"(0, 1)"
29,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,232.3444062,235.819457682048,237.321652100001,237.7648761,1.94541841795217,238.8217038,240.059829646187,3,0.473684210526316,0.526315789473684,10,10,1,241.059829646187,0.0,"(2, 0)"
30,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,241.0672242,244.346177409956,245.848481200001,246.991454500001,2.64527709004506,247.3485201,248.635881674565,3,0.45,0.55,10,11,1,249.635881674565,0.0,"(1, 1)"
31,1,0,0,2,1,2,1,0,2,2.0,,0.15,1.0,4$,0.0,0.0,10613.0425382,249.641955900001,252.446293077588,253.9488272,254.2682881,1.82199502241201,255.448867300001,256.663746807892,3,0.428571428571429,0.571428571428571,10,12,1,257.663746807892,0.0,"(2, 2)"
32,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,,,,10613.0425382,257.6673434,260.064744063167,261.567270200001,263.0652233,,263.067286000001,264.465159721942,3,0.428571428571429,0.571428571428571,10,13,0,265.465159721942,,"(0, 0)"
33,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,265.473284700001,268.134572390469,269.6369006,270.9679373,2.83336490953116,271.1369381,272.050088603226,3,0.409090909090909,0.590909090909091,10,13,1,273.050088603226,0.0,"(1, 1)"
34,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,,,,10613.0425382,273.063533100001,276.884240842166,278.3866973,279.884325200001,,279.886713200001,280.792187066256,3,0.409090909090909,0.590909090909091,10,14,1,281.792187066256,,"(0, 0)"
35,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,4$,1.0,1.0,10613.0425382,281.8051048,284.28285442388,285.7720379,284.294417000001,0.011562576120923,287.272105600001,288.335115024192,3,0.434782608695652,0.565217391304348,10,14,1,289.335115024192,0.0,"(2, 1)"
36,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,2@,0.0,0.0,10613.0425382,289.3452837,292.290555878559,293.793107700001,294.671740600001,2.38118472144197,295.293146800001,296.11674032225,3,0.416666666666667,0.583333333333333,11,14,1,297.11674032225,1.0,"(1, 2)"
37,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,4$,1.0,1.0,10613.0425382,297.120544900001,300.66251832976,302.164801000001,302.765939300001,2.10342097024113,303.664841600001,304.945355737354,3,0.44,0.56,11,15,1,305.945355737354,0.0,"(2, 1)"
38,1,0,0,2,1,2,1,0,1,0.0,,0.15,1.0,2@,1.0,1.0,10613.0425382,305.9608377,308.12816973436,309.6304745,310.156039700001,2.027869965641,311.1305135,312.624157787748,3,0.461538461538462,0.538461538461538,12,15,1,313.624157787748,1.0,"(1, 0)"
39,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,4$,1.0,0.0,10613.0425382,313.634498200001,317.769531868136,319.2723852,319.273157900001,1.50362603186477,320.7724258,322.20395083591,3,0.481481481481481,0.518518518518519,13,15,0,323.20395083591,0.0,"(2, 1)"
40,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,323.209977300001,326.251910523666,327.7546141,328.2333557,1.98144517633409,329.2546544,330.212661154339,3,0.464285714285714,0.535714285714286,14,15,1,331.212661154339,0.0,"(0, 2)"
41,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,4$,1.0,1.0,10613.0425382,331.2175014,334.354148853829,335.8565268,337.046014900001,2.69186604617244,337.356566300001,338.139144979705,3,0.482758620689655,0.517241379310345,14,16,1,339.139144979705,0.0,"(2, 1)"
42,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,2@,1.0,1.0,10613.0425382,339.142777300001,342.807641505318,344.1569311,344.0138288,1.20618729468151,345.656972000001,346.642124399546,3,0.5,0.5,15,16,1,347.642124399546,1.0,"(0, 2)"
43,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,4$,0.0,0.0,10613.0425382,347.649361200001,351.978270860114,353.5859497,353.4418766,1.46360573988568,355.0859896,355.499806807216,3,0.483870967741935,0.516129032258065,16,16,1,356.499806807216,0.0,"(1, 1)"
44,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,2@,1.0,0.0,10613.0425382,356.507606200001,361.174379185806,362.676593600001,362.8586849,1.68430571419412,364.176635700001,364.897739200496,3,0.5,0.5,16,17,0,365.897739200496,1.0,"(0, 2)"
45,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,2@,1.0,1.0,10613.0425382,365.901370900001,368.80673498503,370.3092457,370.317966800001,1.51123181497132,371.809287100001,372.921361856468,3,0.515151515151515,0.484848484848485,17,17,1,373.921361856468,1.0,"(2, 0)"
46,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,2@,0.0,0.0,10613.0425382,373.925011000001,376.680184733314,378.182522200001,378.507291400001,1.82710666668754,379.682769500001,380.338580709984,3,0.5,0.5,18,17,1,381.338580709984,1.0,"(1, 2)"
47,1,0,0,2,1,2,1,0,0,1.0,,0.15,1.0,,,,10613.0425382,381.347313100001,384.027711455794,385.530012900001,387.028253100001,,387.0300291,387.67125733534,3,0.5,0.5,18,18,1,388.67125733534,,"(0, 1)"
48,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,4$,1.0,1.0,10613.0425382,388.687497000001,391.36023749876,392.862746700001,394.323016100001,2.96277860124064,394.3627786,394.860994049734,3,0.514285714285714,0.485714285714286,18,18,1,395.860994049734,0.0,"(1, 2)"
49,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,2@,0.0,0.0,10613.0425382,395.8774479,399.01348109784,400.516394600001,400.876674200001,1.86319310216095,402.016434500001,402.875803022536,3,0.5,0.5,19,18,1,403.875803022536,1.0,"(0, 0)"
50,1,0,0,2,1,2,1,0,2,2.0,,0.15,1.0,4$,0.0,1.0,10613.0425382,403.884671900001,407.793275411053,409.296069800001,410.747017700001,2.95374228894798,410.7961065,411.369297217214,3,0.486486486486487,0.513513513513513,19,19,0,412.369297217214,0.0,"(2, 2)"
