trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,1,0,2,1,0,2,0,1.0,,0.5,0.0,4$,0.0,0.0,6816.3166796,0.0083491000004869,2.96938802887144,4.56218470000022,4.41872400000011,1.44933597112868,6.06229470000017,6.63173926169748,3,0.0,1.0,1,1,1,7.63173926169748,1.0,"(0, 1)"
2,1,0,1,0,2,1,0,2,2,0.0,,0.15,1.0,4$,1.0,1.0,6816.3166796,7.64432090000082,10.3870947836467,12.0227212,11.8827166000001,1.49562181635338,13.5228083000002,14.0957949223457,3,0.5,0.5,1,2,1,15.0957949223457,1.0,"(2, 0)"
3,1,0,1,0,2,1,0,2,0,1.0,,0.5,0.0,2@,1.0,1.0,6816.3166796,15.1011707000007,19.5258726305265,21.0316150000008,21.0761303000008,1.55025766947438,22.5317154000004,23.0401312159947,3,0.666666666666667,0.333333333333333,2,2,1,24.0401312159947,0.0,"(0, 1)"
4,1,0,1,0,2,1,0,2,1,0.0,,0.5,0.0,4$,0.0,0.0,6816.3166796,24.0441379000004,26.8934729986504,28.3964574000001,28.4376374000003,1.54416440134992,29.8965401000005,30.9625248129605,3,0.5,0.5,3,2,1,31.9625248129605,1.0,"(1, 0)"
5,1,0,1,0,2,1,0,2,2,2.0,,0.5,0.0,2@,1.0,1.0,6816.3166796,31.9670096,36.7227245579861,38.2258874000008,38.5228636000002,1.80013904201405,39.7261707000007,40.5484952866964,3,0.6,0.4,3,3,1,41.5484952866964,0.0,"(2, 2)"
6,1,0,1,0,2,1,0,2,0,0.0,,0.35,1.0,2@,0.0,0.0,6816.3166796,41.5590812,43.7427542930409,45.2451939000002,45.3601341000003,1.61737980695943,46.7452476000008,47.3187417150275,3,0.5,0.5,4,3,1,48.3187417150275,0.0,"(0, 0)"
7,1,0,1,0,2,1,0,2,1,1.0,,0.15,1.0,2@,0.0,1.0,6816.3166796,48.3319403000005,50.3384609910854,51.8414437000001,52.5135054000002,2.1750444089148,53.3414838000008,53.9060991213,3,0.428571428571429,0.571428571428571,4,4,0,54.9060991213,0.0,"(1, 1)"
8,1,0,1,0,2,1,0,2,0,2.0,,0.15,1.0,2@,0.0,1.0,6816.3166796,54.9214733000008,57.1260415874267,58.6292228000002,58.9128116000002,1.78677001257347,60.1292621000002,61.5118658568081,3,0.375,0.625,4,5,0,62.5118658568081,0.0,"(0, 2)"
9,1,0,1,0,2,1,0,2,2,1.0,,0.35,1.0,2@,0.0,0.0,6816.3166796,62.5283727000005,65.2554097696275,66.7578817000003,66.9385193000007,1.68310953037326,68.2579213000008,69.0733737075525,3,0.333333333333333,0.666666666666667,4,6,1,70.0733737075525,0.0,"(2, 1)"
10,1,0,1,0,2,1,0,2,1,0.0,,0.5,0.0,2@,1.0,1.0,6816.3166796,70.0854265000007,74.5949683609315,76.0971766000002,76.6648232000007,2.06985483906919,77.5972190000002,78.1753396762806,3,0.4,0.6,4,7,1,79.1753396762806,0.0,"(1, 0)"
