trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,2,1,0,1,0,2,0,1.0,,0.35,1.0,2@,0.0,0.0,21676.8303777,0.0027074999998149,2.96938802887234,4.47710150000057,5.88499819999925,2.9156101711269,5.97717909999847,6.63173926169839,3,0.0,1.0,1,1,1,7.63173926169839,0.0,"(0, 1)"
2,1,0,2,1,0,1,0,2,1,0.0,,0.35,1.0,4$,1.0,1.0,21676.8303777,7.64883650000047,10.3870947836476,11.8907419999996,12.4650817000002,2.07798691635253,13.3908360999994,14.0957949223448,3,0.5,0.5,1,2,1,15.0957949223448,1.0,"(1, 0)"
3,1,0,2,1,0,1,0,2,2,2.0,,0.35,1.0,4$,1.0,1.0,21676.8303777,15.1058066000005,19.5258726305256,21.0284867000009,22.005030100001,2.47915746947547,22.5285743999993,23.0401312159956,3,0.666666666666667,0.333333333333333,2,2,1,24.0401312159956,1.0,"(2, 2)"
4,1,0,2,1,0,1,0,2,1,1.0,,0.5,0.0,2@,1.0,1.0,21676.8303777,24.0473334999988,26.8934729986504,28.3960996999995,28.8863047000013,1.99283170135095,29.8961847999999,30.9625248129596,3,0.75,0.25,3,2,1,31.9625248129596,0.0,"(1, 1)"
5,1,0,2,1,0,1,0,2,2,0.0,,0.5,0.0,4$,0.0,1.0,21676.8303777,31.9716239000008,36.7227245579852,38.2257032999987,39.3330844000011,2.6103598420159,39.7259632999994,40.5484952866973,3,0.6,0.4,4,2,0,41.5484952866973,1.0,"(2, 0)"
6,1,0,2,1,0,1,0,2,1,2.0,,0.15,1.0,2@,0.0,0.0,21676.8303777,41.5636543000001,43.7427542930418,45.2450529999987,46.2545648000014,2.51181050695959,46.7450912999993,47.3187417150293,3,0.5,0.5,4,3,1,48.3187417150293,0.0,"(1, 2)"
7,1,0,2,1,0,1,0,2,2,0.0,,0.5,0.0,2@,1.0,0.0,21676.8303777,48.3365878000004,50.3384609910863,51.8411515000007,53.1723004999985,2.83383950891221,53.3411802999981,53.9060991213009,3,0.571428571428571,0.428571428571429,4,4,0,54.9060991213009,0.0,"(2, 0)"
8,1,0,2,1,0,1,0,2,0,2.0,,0.5,0.0,4$,0.0,0.0,21676.8303777,54.910251199999,57.1260415874276,58.6285270000008,59.2220783000012,2.09603671257355,60.1285667000011,61.5118658568063,3,0.5,0.5,5,4,1,62.5118658568063,1.0,"(0, 2)"
9,1,0,2,1,0,1,0,2,1,1.0,,0.5,0.0,4$,0.0,0.0,21676.8303777,62.5162925000004,65.2554097696266,66.7578251000014,67.3700212000003,2.11461143037377,68.257862800001,69.0733737075534,3,0.444444444444444,0.555555555555556,5,5,1,70.0733737075534,1.0,"(1, 1)"
10,1,0,2,1,0,1,0,2,2,0.0,,0.5,0.0,4$,0.0,0.0,21676.8303777,70.0899938000002,74.5949683609324,76.0972728000015,77.2071738000013,2.61220543906893,77.5973059999997,78.1753396762797,3,0.4,0.6,5,6,1,79.1753396762797,1.0,"(2, 0)"
11,1,0,2,1,0,1,0,2,0,2.0,,0.5,0.0,2@,1.0,1.0,21676.8303777,79.1817128000002,82.1925159213279,83.6951164999991,84.1066920999983,1.91417617867046,85.1951559000008,85.7322910609546,3,0.454545454545455,0.545454545454545,5,7,1,86.7322910609546,0.0,"(0, 2)"
12,1,0,2,1,0,1,0,2,2,1.0,,0.15,1.0,4$,1.0,1.0,21676.8303777,86.7386664000005,90.9216677095537,92.4241469000008,93.0422572999996,2.12058959044589,93.9241853999993,94.4918790604424,3,0.5,0.5,6,7,1,95.4918790604424,1.0,"(2, 1)"
13,1,0,2,1,0,1,0,2,1,0.0,,0.35,1.0,,,,21676.8303777,95.4968341999993,99.9991499998723,101.501325000001,102.999349000002,,103.001361300001,103.616898312721,3,0.5,0.5,7,7,1,104.616898312721,,"(1, 0)"
14,1,0,2,1,0,1,0,2,0,1.0,,0.35,1.0,4$,1.0,1.0,21676.8303777,104.6220388,109.558092272713,111.0605536,111.8802464,2.32215412728692,112.560589600002,113.404564477452,3,0.538461538461538,0.461538461538462,7,7,1,114.404564477452,1.0,"(0, 1)"
15,1,0,2,1,0,1,0,2,1,0.0,,0.35,1.0,2@,0.0,1.0,21676.8303777,114.4144194,117.864815318204,119.367331099998,120.233154199999,2.36833888179535,120.867369399999,121.510519594176,3,0.5,0.5,8,7,0,122.510519594176,0.0,"(1, 0)"
