trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,2@,1,1,18333.767924,0.0026667000020097,2.35666917563867,3.86425529999906,4.29631729999892,1.93964812436025,5.36435089999941,6.30319008832885,3,1.0,0.0,1,1,1,7.30319008832885,0.0,"(2, 1)"
2,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,4$,1,1,18333.767924,7.31748449999941,9.68575714324106,11.1898970000002,11.7001267999985,2.01436965675748,12.6899980000017,13.4739621862209,3,1.0,0.0,2,1,1,14.4739621862209,1.0,"(0, 2)"
3,1,0,0,2,1,2,1,0,1,0.0,,0.15,1.0,4$,1,1,18333.767924,14.490815600002,18.5325576460273,20.0359821999991,20.6417766999984,2.10921905397117,21.5360795000015,22.6404668127689,3,1.0,0.0,3,1,1,23.6404668127689,1.0,"(1, 0)"
4,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,2@,0,1,18333.767924,23.6492656000009,25.8825065051933,27.385689900002,27.9234123999995,2.0409058948062,28.8857767000009,29.3838424375608,3,0.75,0.25,4,1,0,30.3838424375608,0.0,"(0, 2)"
5,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,2@,0,0,18333.767924,30.3887704000008,32.9189054441049,34.421880599999,34.9672854000019,2.04837995589696,35.9221355000009,36.6469396251086,3,0.6,0.4,4,2,1,37.6469396251086,0.0,"(2, 0)"
6,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,4$,0,0,18333.767924,37.6623130000007,40.7619246493268,42.2647706999996,42.2952549000001,1.53333025067332,43.7648093999996,44.7778111970656,3,0.5,0.5,4,3,1,45.7778111970656,1.0,"(1, 2)"
7,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,2@,1,1,18333.767924,45.7864751000016,50.0298976355043,51.5322546999996,52.0730325000004,2.0431348644961,53.0322941000013,53.8209475987424,3,0.571428571428571,0.428571428571429,4,4,1,54.8209475987424,0.0,"(0, 0)"
8,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,2@,1,0,18333.767924,54.8281074000006,57.0070114277623,58.5093985999993,58.7606511000013,1.75363967223893,60.0094385000011,60.5387682258879,3,0.625,0.375,5,4,0,61.5387682258879,0.0,"(1, 2)"
9,1,0,0,2,1,2,1,0,0,1.0,,0.15,1.0,4$,1,1,18333.767924,61.5509922999991,65.5935976644687,66.877260199999,66.7420377999988,1.14844013553011,68.3774392000014,70.0227330157286,3,0.666666666666667,0.333333333333333,6,4,1,71.0227330157286,1.0,"(0, 1)"
10,1,0,0,2,1,2,1,0,2,2.0,,0.15,1.0,2@,0,0,18333.767924,71.0433297000018,73.9982115087951,75.500688600001,75.7577463000016,1.75953479120653,77.0007274000018,77.8976915192507,3,0.6,0.4,7,4,1,78.8976915192507,0.0,"(2, 2)"
11,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,2@,1,1,18333.767924,78.9017598999999,81.1191903592153,82.6219511999989,82.9048288000013,1.78563844078599,84.121990399999,85.0423519528849,3,0.636363636363636,0.363636363636364,7,5,1,86.0423519528849,0.0,"(0, 0)"
12,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,2@,1,0,18333.767924,86.0570858999999,88.4578858961468,89.9604805999988,90.2486357999987,1.79074990385197,91.4605212999995,92.8312402443407,3,0.666666666666667,0.333333333333333,8,5,0,93.8312402443407,0.0,"(2, 1)"
13,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,4$,0,1,18333.767924,93.8477157999987,97.6953151824855,99.1977503000016,99.4426502999995,1.74733511751401,100.6977888,101.767751132142,3,0.615384615384615,0.384615384615385,9,5,0,102.767751132142,1.0,"(1, 2)"
14,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,4$,0,0,18333.767924,102.772541400002,107.010615331106,108.513258200001,108.721688500002,1.71107316889538,110.013296600002,110.541957264733,3,0.571428571428571,0.428571428571429,9,6,1,111.541957264733,1.0,"(0, 0)"
15,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,4$,0,0,18333.767924,111.547332000002,114.811839634142,116.314305100001,116.7316403,1.91980066585893,117.814344900002,118.640898553385,3,0.533333333333333,0.466666666666667,9,7,1,119.640898553385,1.0,"(1, 2)"
16,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,2@,1,1,18333.767924,119.654852700001,123.081479370521,124.5840293,124.875115999999,1.79363662947799,126.084068700002,126.717167741208,3,0.5625,0.4375,9,8,1,127.717167741208,0.0,"(2, 1)"
17,1,0,0,2,1,2,1,0,0,2.0,,0.35,1.0,2@,0,0,18333.767924,127.729033399999,130.971237557271,132.484492700001,132.3464202,1.37518264272876,133.984531099999,134.666779965501,3,0.529411764705882,0.470588235294118,10,8,1,135.666779965501,0.0,"(0, 2)"
18,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,2@,0,0,18333.767924,135.671000900002,140.13274719589,141.635182400001,141.969161100002,1.8364139041114,143.135222299999,144.329812486736,3,0.5,0.5,10,9,1,145.329812486736,0.0,"(1, 1)"
19,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,2@,0,0,18333.767924,145.345334900001,147.746361789959,149.249112699999,149.815219299999,2.06885751003938,150.749151,151.919143985509,3,0.473684210526316,0.526315789473684,10,10,1,152.919143985509,0.0,"(2, 0)"
20,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,2@,0,0,18333.767924,152.9357805,156.577623413159,158.0800289,158.847061,2.26943758684138,159.580066900002,160.840698661654,3,0.45,0.55,10,11,1,161.840698661654,0.0,"(1, 1)"
21,1,0,0,2,1,2,1,0,2,2.0,,0.15,1.0,4$,1,1,18333.767924,161.844970400001,165.46132136511,166.963779900001,167.173138900002,1.71181753489145,168.463819299999,169.206293274554,3,0.476190476190476,0.523809523809524,10,12,1,170.206293274554,1.0,"(2, 2)"
22,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,2@,1,0,18333.767924,170.2183205,173.068527612671,174.571084700001,174.791142900001,1.72261528732997,176.071124099999,177.049153555246,3,0.5,0.5,11,12,0,178.049153555246,0.0,"(0, 0)"
23,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,2@,1,1,18333.767924,178.058942899999,182.899561574613,184.4018989,184.652798399999,1.7532368253851,185.901938899999,186.808600878274,3,0.521739130434783,0.478260869565217,12,12,1,187.808600878274,0.0,"(2, 1)"
24,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,2@,1,1,18333.767924,187.817891900002,192.692551933575,194.194899900001,194.6312287,1.93867676642549,195.694937299999,196.542718865388,3,0.541666666666667,0.458333333333333,13,12,1,197.542718865388,0.0,"(0, 0)"
25,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,2@,1,1,18333.767924,197.560338399999,201.121368392643,202.623619099999,202.7942993,1.6729309073562,204.123697300001,204.994270616291,3,0.56,0.44,14,12,1,205.994270616291,0.0,"(1, 2)"
26,1,0,0,2,1,2,1,0,2,1.0,,0.5,0.0,2@,1,0,18333.767924,206.001465199999,209.402772562793,210.905381100001,211.114146799999,1.71137423720575,212.405421200001,213.575096436442,3,0.576923076923077,0.423076923076923,15,12,0,214.575096436442,0.0,"(2, 1)"
27,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,4$,0,0,18333.767924,214.592882500001,216.964562898829,218.466851699999,218.756246500001,1.79168360117183,219.9668891,220.482170366242,3,0.555555555555556,0.444444444444444,16,12,1,221.482170366242,1.0,"(0, 0)"
28,1,0,0,2,1,2,1,0,1,1.0,,0.35,1.0,2@,0,0,18333.767924,221.499187400001,225.365071720025,226.867757,227.530745399999,2.16567367997413,228.3677966,229.447029851312,3,0.535714285714286,0.464285714285714,16,13,1,230.447029851312,0.0,"(1, 1)"
29,1,0,0,2,1,2,1,0,0,0.0,,0.5,0.0,4$,0,0,18333.767924,230.457556599998,232.731407669187,234.233839799999,234.331778200001,1.60037053081396,235.73388,236.499282176355,3,0.517241379310345,0.482758620689655,16,14,1,237.499282176355,1.0,"(0, 0)"
30,1,0,0,2,1,2,1,0,1,2.0,,0.5,0.0,2@,1,1,18333.767924,237.513968499999,242.351815833841,243.854657200001,244.333171499999,1.98135566615747,245.354695999999,246.350616176438,3,0.533333333333333,0.466666666666667,16,15,1,247.350616176438,0.0,"(1, 2)"
31,1,0,0,2,1,2,1,0,2,0.0,,0.35,1.0,4$,1,1,18333.767924,247.3564382,252.288039481562,253.790650899999,253.926239700002,1.63820021844003,255.290691000002,256.448850780092,3,0.548387096774194,0.451612903225806,17,15,1,257.448850780092,1.0,"(2, 0)"
