trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,0,2,1,2,0,1,1,,0.0,0.5,0.0,,,,11317.2913881,0.0068757999997615,3.47770013161789,5.08422129999963,6.47817690000011,,6.58430609999959,7.2222820310617,3,,,1,1,1,8.2222820310617,,"(1, 0)"
2,1,0,0,2,1,2,0,1,2,,1.0,0.5,0.0,2@,0.0,0.0,11317.2913881,8.23048980000021,11.1003976227657,12.6961661999994,13.2635663000001,2.16316867723435,14.1962669000004,15.2427180700288,3,0.0,1.0,1,1,1,16.2427180700288,1.0,"(2, 1)"
3,1,0,0,2,1,2,0,1,0,,2.0,0.5,0.0,4$,1.0,1.0,11317.2913881,16.2546958000003,19.3722912481735,20.9672339999997,21.7837834000002,2.41149215182668,22.4673320999991,23.0626988662316,3,0.5,0.5,1,2,1,24.0626988662316,0.0,"(0, 2)"
4,1,0,0,2,1,2,0,1,2,,1.0,0.5,0.0,2@,0.0,0.0,11317.2913881,24.0786515999989,27.5961483379451,29.1771974999992,29.8154028999998,2.21925456205463,30.6773264999993,31.7658337285593,3,0.333333333333333,0.666666666666667,2,2,1,32.7658337285593,1.0,"(2, 1)"
5,1,0,0,2,1,2,0,1,0,,0.0,0.35,1.0,4$,0.0,1.0,11317.2913881,32.7868077999992,35.1763284688295,36.7766935999989,37.2827574999992,2.10642903116968,38.2769568000003,38.8159542033063,3,0.25,0.75,2,3,0,39.8159542033063,0.0,"(0, 0)"
6,1,0,0,2,1,2,0,1,2,,2.0,0.35,1.0,2@,1.0,1.0,11317.2913881,39.8265424999991,42.2580048041546,43.8290954999993,44.2446605999994,1.98665579584485,45.3291750999997,45.9824934732169,3,0.4,0.6,2,4,1,46.9824934732169,1.0,"(2, 2)"
7,1,0,0,2,1,2,0,1,1,,0.0,0.5,0.0,2@,0.0,0.0,11317.2913881,46.9998495999989,51.4684016129413,53.0389748999987,53.3927356000004,1.92433398705907,54.5390152,55.7760607333712,3,0.333333333333333,0.666666666666667,3,4,1,56.7760607333712,1.0,"(1, 0)"
8,1,0,0,2,1,2,0,1,2,,1.0,0.5,0.0,4$,1.0,0.0,11317.2913881,56.7922933999998,59.4676873441222,61.0381175999992,61.6380675,2.17038015587787,62.5381579000004,63.700899745385,3,0.428571428571429,0.571428571428571,3,5,0,64.700899745385,0.0,"(2, 1)"
9,1,0,0,2,1,2,0,1,1,,2.0,0.15,1.0,4$,0.0,0.0,11317.2913881,64.7162881999993,68.3234503465719,69.8949097000004,70.8160324,2.49258205342812,71.3949503000003,72.5387194826799,3,0.375,0.625,4,5,1,73.5387194826799,0.0,"(1, 2)"
10,1,0,0,2,1,2,0,1,0,,1.0,0.15,1.0,2@,1.0,1.0,11317.2913881,73.542406999999,77.2160862214823,78.7861434999995,79.1430882000004,1.92700197851809,80.2861828000005,80.7909744867393,3,0.444444444444444,0.555555555555556,4,6,1,81.7909744867393,1.0,"(0, 1)"
11,1,0,0,2,1,2,0,1,2,,2.0,0.35,1.0,4$,0.0,0.0,11317.2913881,81.7987402999988,83.8103209850287,85.3808840000002,85.9153631999998,2.10504221497104,86.8809232000003,87.7330757702948,3,0.4,0.6,5,6,1,88.7330757702948,0.0,"(2, 2)"
12,1,0,0,2,1,2,0,1,1,,0.0,0.5,0.0,4$,1.0,1.0,11317.2913881,88.7385577999994,91.6483885658781,93.2188695999994,93.6236245999989,1.97523603412083,94.7189098999988,95.5612116684842,3,0.454545454545455,0.545454545454545,5,7,1,96.5612116684842,0.0,"(1, 0)"
13,1,0,0,2,1,2,0,1,0,,2.0,0.5,0.0,2@,0.0,0.0,11317.2913881,96.5792003999995,101.349533172408,102.920031599999,103.406031499999,2.05649832759082,104.42007,105.473957006261,3,0.416666666666667,0.583333333333333,6,7,1,106.473957006261,1.0,"(0, 2)"
14,1,0,0,2,1,2,0,1,2,,1.0,0.5,0.0,2@,0.0,0.0,11317.2913881,106.4882593,108.87321136494,110.4436167,110.8293252,1.95611383506002,111.943654999999,112.469730840734,3,0.384615384615385,0.615384615384615,6,8,1,113.469730840734,1.0,"(2, 1)"
15,1,0,0,2,1,2,0,1,0,,0.0,0.35,1.0,4$,0.0,1.0,11317.2913881,113.4780462,116.104077388172,117.6747899,118.0416816,1.93760421182742,119.1748283,120.129741984687,3,0.357142857142857,0.642857142857143,6,9,0,121.129741984687,0.0,"(0, 0)"
16,1,0,0,2,1,2,0,1,1,,1.0,0.35,1.0,2@,1.0,0.0,11317.2913881,121.135179499999,124.826389406197,126.396744899999,127.004327799999,2.17793839380283,127.896786399999,128.82050356026,3,0.4,0.6,6,10,0,129.82050356026,1.0,"(1, 1)"
17,1,0,0,2,1,2,0,1,2,,2.0,0.35,1.0,4$,0.0,0.0,11317.2913881,129.826632099999,134.19941888961,135.769948699999,136.5356013,2.33618241039039,137.269988599999,137.935193115965,3,0.375,0.625,7,10,1,138.935193115965,0.0,"(2, 2)"
