trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,0,1,2,2,0,1,2,,2.0,0.35,1.0,4$,1.0,1.0,11566.5150237,0.0027896000010514,3.64844503374115,5.25299799999993,5.51622280000083,1.86777776625968,6.75309440000092,7.36569311169842,3,1.0,0.0,1,1,1,8.36569311169842,1.0,"(2, 2)"
2,1,0,0,1,2,2,0,1,1,,0.0,0.5,0.0,2@,1.0,1.0,11566.5150237,8.37369229999968,12.2981425512789,13.8931802000006,14.6731871000011,2.37504454872214,15.3932782000011,16.0515972707435,3,1.0,0.0,2,1,1,17.0515972707435,0.0,"(1, 0)"
3,1,0,0,1,2,2,0,1,0,,1.0,0.15,1.0,4$,1.0,1.0,11566.5150237,17.0597923000005,22.0041647879934,23.5956022000009,23.8529208,1.84875601200656,25.0956975000008,25.8349917909127,3,1.0,0.0,3,1,1,26.8349917909127,1.0,"(0, 1)"
4,1,0,0,1,2,2,0,1,2,,2.0,0.35,1.0,2@,0.0,0.0,11566.5150237,26.8521801999996,30.6494679899242,32.2292969999999,32.4435654999997,1.79409751007552,33.7294110000003,34.7686676656922,3,0.75,0.25,4,1,1,35.7686676656922,0.0,"(2, 2)"
5,1,0,0,1,2,2,0,1,0,,0.0,0.35,1.0,4$,1.0,1.0,11566.5150237,35.7769766000001,39.341574029404,40.9413476000009,41.7450122000009,2.40343817059693,42.4416077000005,43.2178502245497,3,0.8,0.2,4,2,1,44.2178502245497,1.0,"(0, 0)"
6,1,0,0,1,2,2,0,1,2,,1.0,0.5,0.0,2@,1.0,1.0,11566.5150237,44.2348803999994,46.713776366003,48.2845204999994,48.8246079,2.11083153399704,49.7845579999994,50.4530972989742,3,0.833333333333333,0.166666666666667,5,2,1,51.4530972989742,0.0,"(2, 1)"
7,1,0,0,1,2,2,0,1,1,,0.0,0.5,0.0,2@,1.0,0.0,11566.5150237,51.4581237000002,54.6606481925355,56.2308857999997,56.6550313999996,1.99438320746413,57.7309253000003,58.5122844453526,3,0.857142857142857,0.142857142857143,6,2,0,59.5122844453526,0.0,"(1, 0)"
8,1,0,0,1,2,2,0,1,0,,2.0,0.5,0.0,2@,1.0,0.0,11566.5150237,59.5161521000009,63.3706752201233,64.9406397000002,65.3785454000008,2.0078701798775,66.4406784000003,67.4220516144414,3,0.875,0.125,7,2,0,68.4220516144414,0.0,"(0, 2)"
9,1,0,0,1,2,2,0,1,2,,1.0,0.5,0.0,4$,0.0,0.0,11566.5150237,68.4263162999996,71.3288529652364,72.8994024000003,73.2100375999999,1.88118463476349,74.3994407999999,75.2493674418529,3,0.777777777777778,0.222222222222222,8,2,1,76.2493674418529,1.0,"(2, 1)"
10,1,0,0,1,2,2,0,1,0,,2.0,0.5,0.0,2@,1.0,1.0,11566.5150237,76.2647176999999,80.5324375177388,82.1025953000008,82.6624415999995,2.13000408226071,83.6026337000003,84.7003720966095,3,0.8,0.2,8,3,1,85.7003720966095,0.0,"(0, 2)"
11,1,0,0,1,2,2,0,1,1,,1.0,0.35,1.0,2@,0.0,0.0,11566.5150237,85.7064604999996,88.3731587258262,89.9442012,89.9638955999999,1.59073687417367,91.4442404000001,92.216228085812,3,0.727272727272727,0.272727272727273,9,3,1,93.216228085812,0.0,"(1, 1)"
12,1,0,0,1,2,2,0,1,0,,2.0,0.5,0.0,4$,0.0,0.0,11566.5150237,93.2301019000006,96.2795307641754,97.8495368000004,98.1171305000007,1.83759973582528,99.3495765999996,99.8628058750601,3,0.666666666666667,0.333333333333333,9,4,1,100.86280587506,1.0,"(0, 2)"
13,1,0,0,1,2,2,0,1,1,,0.0,0.5,0.0,2@,1.0,0.0,11566.5150237,100.870561199999,104.868781299005,106.4386713,106.6870356,1.81825430099525,107.93871,108.384816769292,3,0.692307692307692,0.307692307692308,9,5,0,109.384816769292,0.0,"(1, 0)"
14,1,0,0,1,2,2,0,1,2,,1.0,0.5,0.0,2@,1.0,1.0,11566.5150237,109.394940600001,112.912369561047,114.6146699,114.411994399999,1.49962483895251,116.114864900001,116.507249637407,3,0.714285714285714,0.285714285714286,10,5,1,117.507249637407,0.0,"(2, 1)"
15,1,0,0,1,2,2,0,1,0,,2.0,0.5,0.0,2@,1.0,0.0,11566.5150237,117.5193325,122.262097784505,123.8334811,124.217998100001,1.95590031549546,125.3335198,126.394525686563,3,0.733333333333333,0.266666666666667,11,5,0,127.394525686563,0.0,"(0, 2)"
16,1,0,0,1,2,2,0,1,2,,0.0,0.15,1.0,2@,0.0,0.0,11566.5150237,127.4118182,131.023137174894,132.5951826,132.926038600001,1.90290142510639,134.095222100001,135.400256456314,3,0.6875,0.3125,12,5,1,136.400256456314,0.0,"(2, 0)"
17,1,0,0,1,2,2,0,1,1,,2.0,0.15,1.0,4$,1.0,1.0,11566.5150237,136.404947000001,141.390248338957,142.961296900001,143.876074899999,2.4858265610419,144.461336,145.145861109251,3,0.705882352941177,0.294117647058823,12,6,1,146.145861109251,1.0,"(1, 2)"
18,1,0,0,1,2,2,0,1,0,,0.0,0.35,1.0,2@,0.0,0.0,11566.5150237,146.1624273,148.577683301426,150.147747200001,150.9969571,2.41927379857407,151.647784500001,152.571690182025,3,0.666666666666667,0.333333333333333,13,6,1,153.571690182025,0.0,"(0, 0)"
19,1,0,0,1,2,2,0,1,1,,1.0,0.35,1.0,2@,0.0,0.0,11566.5150237,153.585905,155.919813288499,157.490214900001,157.781379,1.86156571150059,158.9902532,160.227490097193,3,0.631578947368421,0.368421052631579,13,7,1,161.227490097193,0.0,"(1, 1)"
20,1,0,0,1,2,2,0,1,2,,2.0,0.35,1.0,4$,1.0,1.0,11566.5150237,161.2430996,164.331446766053,165.901865400001,166.8482788,2.51683203394714,167.401902699999,168.109051453253,3,0.65,0.35,13,8,1,169.109051453253,1.0,"(2, 2)"
21,1,0,0,1,2,2,0,1,1,,1.0,0.35,1.0,4$,1.0,1.0,11566.5150237,169.116972899999,171.412279966416,172.9826323,173.847759599999,2.43547963358287,174.4826699,175.006242665311,3,0.666666666666667,0.333333333333333,14,8,1,176.006242665311,1.0,"(1, 1)"
22,1,0,0,1,2,2,0,1,2,,2.0,0.35,1.0,,,,11566.5150237,176.023355700001,179.01099868577,180.580846000001,182.0113686,,182.080896699999,182.89514221838,3,0.666666666666667,0.333333333333333,15,8,1,183.89514221838,,"(2, 2)"
23,1,0,0,1,2,2,0,1,1,,1.0,0.35,1.0,4$,1.0,1.0,11566.5150237,183.8986346,187.534427416718,189.1044167,189.465001799999,1.93057438328105,190.6044557,191.075443156689,3,0.681818181818182,0.318181818181818,15,8,1,192.075443156689,1.0,"(1, 1)"
