source	name	signal	mean	sem	t	p	dz	cov_pos	cov_neg	p_holm
model7	Caudate / Putamen R	rpe	0.2635250605816696	0.02620153740328348	10.057618242990793	3.045124122548717e-14	1.3206299745519914	1.0	0.0	1.8879769559802045e-12
model7	Caudate / Putamen R	urpe	-0.07855692323415821	0.016112364455820094	-4.875567670378876	9.060336918335095e-06	-0.6401933989636379	0.0004487323311644604	0.1687233565178371	0.00028993078138672305
model7	Caudate / Putamen R	surprise	0.003073965142500892	0.008468768743778417	0.3629766304292085	0.7179649430841237	0.0476611665531012	0.006057886470720216	0.0	1.0
model7	Caudate / Putamen R (2)	rpe	0.2887760832118314	0.027474730220337255	10.510606688253285	5.871358162163542e-15	1.380110271426081	0.7654761904761904	0.0	3.6989556421630317e-13
model7	Caudate / Putamen R (2)	urpe	-0.18289471485630363	0.021269596364622004	-8.598880379343482	7.022450250755605e-12	-1.1290883091990507	0.0	1.0	4.143245647945807e-10
model7	Caudate / Putamen R (2)	surprise	0.005959338320516887	0.011434494157631125	0.5211720114911911	0.6042659760986255	0.06843323773523464	0.0	0.0	1.0
model7	Cingulate Gyrus L	rpe	0.30763218398910086	0.04899151969956631	6.279294577421	4.9964529038504586e-08	0.8245117718365504	0.634850166481687	0.0	2.4482619228867246e-06
model7	Cingulate Gyrus L	urpe	-0.23696349189266042	0.033997801021453396	-6.969965255786131	3.5703335166229565e-09	-0.9152012748934806	0.0	1.0	1.892276763810167e-07
model7	Cingulate Gyrus L	surprise	0.017056306680864244	0.01963788477504022	0.8685409287329575	0.38874062662293685	0.11404501114459517	0.004439511653718091	0.0	1.0
model7	Visual cortex (mid/lat occipital) L	rpe	0.2611271841514924	0.0288399772526859	9.054347784798384	1.2587021817765884e-12	1.1888941094932066	0.9331713244228432	0.0	7.55221309065953e-11
model7	Visual cortex (mid/lat occipital) L	urpe	-0.13814745946575585	0.018467313284733042	-7.48064741934944	5.029012337849419e-10	-0.9822571281160639	0.0	1.0	2.8665370325741688e-08
model7	Visual cortex (mid/lat occipital) L	surprise	0.012933508592264512	0.008806188418756813	1.4686840636655782	0.14741597366756473	0.19284766539784876	0.0425273390036452	0.0	1.0
model7	Middle Temporal Gyrus R	rpe	0.2796939756288912	0.029991700665270144	9.325712427930831	4.556414493173772e-13	1.22452603278718	0.8809182209469153	0.0	2.7794128408360008e-11
model7	Middle Temporal Gyrus R	urpe	-0.15051401157299354	0.02064996796430983	-7.288825427387245	1.0501982978820452e-09	-0.957069666607462	0.0	1.0	5.881110468139453e-08
model7	Middle Temporal Gyrus R	surprise	0.00857726974320649	0.009983672346966139	0.8591297315374107	0.39386769692277745	0.11280926041190847	0.00860832137733142	0.0	1.0
model7	Inferior Parietal Lobule R	rpe	0.04926294468859466	0.03915339619526192	1.2582036164350958	0.2134477889367684	0.165210228685295	0.0	0.0	1.0
model7	Inferior Parietal Lobule R	urpe	-0.1798057464359045	0.029208608838313763	-6.155916135247364	7.978552184112805e-08	-0.808311388702941	0.0	1.0	3.749919526533018e-06
model7	Inferior Parietal Lobule R	surprise	0.0011825908751312332	0.013939468792943836	0.0848375854702484	0.9326877928410497	0.011139720720530146	0.0	0.0	1.0
model7	Postcentral Gyrus R	rpe	0.23258591219433356	0.037740851738371835	6.162709676153361	7.775846230222694e-08	0.809203424325794	0.7581395348837209	0.0	3.732406190506893e-06
model7	Postcentral Gyrus R	urpe	-0.1915925676080479	0.032080210673101794	-5.972297674737279	1.596731367121321e-07	-0.7842011036461677	0.0	1.0	7.1852911520459445e-06
model7	Postcentral Gyrus R	surprise	0.005860662392895109	0.015202855477688581	0.3854974745695704	0.7013038196015664	0.0506182982621619	0.0	0.0	1.0
model7	DLPFC L	rpe	0.26389157260459206	0.03502119132407008	7.535196908713361	4.079135409599412e-10	0.9894198269787599	0.8695652173913043	0.0	2.3658985375676588e-08
model7	DLPFC L	urpe	-0.15375941589006664	0.023727516595075902	-6.480215292399199	2.325426294797351e-08	-0.8508939542079628	0.0	1.0	1.1627131473986756e-06
model7	DLPFC L	surprise	0.05558281751448569	0.013586883762858716	4.090917276147427	0.00013660620268001334	0.5371637546551312	0.15527950310559005	0.0	0.003961579877720387
model7	dmPFC R	rpe	-0.04139973779916285	0.04699449183572318	-0.8809487278611781	0.38204512871024054	-0.11567423498776178	0.0	0.0	1.0
model7	dmPFC R	urpe	0.23654110725457922	0.03386111812059009	6.985626003612223	3.362198867812197e-09	0.9172576318264406	1.0	0.0	1.8155873886185864e-07
