subject	name	signal	value
01	Caudate / Putamen R	rpe	0.1340829133785521
02	Caudate / Putamen R	rpe	0.5114973629887547
03	Caudate / Putamen R	rpe	0.5691723488105146
04	Caudate / Putamen R	rpe	0.2705784675657952
05	Caudate / Putamen R	rpe	0.4474824220315844
06	Caudate / Putamen R	rpe	0.19741853658669736
07	Caudate / Putamen R	rpe	-0.03985353173190832
09	Caudate / Putamen R	rpe	0.12591077172359924
10	Caudate / Putamen R	rpe	0.8203330966867939
11	Caudate / Putamen R	rpe	0.4890236297700731
12	Caudate / Putamen R	rpe	0.18515432406770574
14	Caudate / Putamen R	rpe	0.10652908840539267
15	Caudate / Putamen R	rpe	0.22212682837783077
17	Caudate / Putamen R	rpe	0.14196452698037304
18	Caudate / Putamen R	rpe	0.07518306181695084
19	Caudate / Putamen R	rpe	0.4034957582591409
20	Caudate / Putamen R	rpe	0.1460553476029142
21	Caudate / Putamen R	rpe	0.32919220147121353
22	Caudate / Putamen R	rpe	0.16099128262220794
23	Caudate / Putamen R	rpe	0.1111212536359441
24	Caudate / Putamen R	rpe	0.4291218620062663
25	Caudate / Putamen R	rpe	0.553680055545119
26	Caudate / Putamen R	rpe	-0.1664690189083047
27	Caudate / Putamen R	rpe	0.4034299171781097
28	Caudate / Putamen R	rpe	0.3310287699116778
29	Caudate / Putamen R	rpe	0.3617987945753868
30	Caudate / Putamen R	rpe	0.3062810870165483
33	Caudate / Putamen R	rpe	0.1787757815656562
34	Caudate / Putamen R	rpe	0.15162894582003392
35	Caudate / Putamen R	rpe	0.2611162899512865
36	Caudate / Putamen R	rpe	0.14907945233062864
37	Caudate / Putamen R	rpe	0.34945006714102866
38	Caudate / Putamen R	rpe	-0.07957555536258323
39	Caudate / Putamen R	rpe	0.16174549227992727
40	Caudate / Putamen R	rpe	-0.006375204939644491
41	Caudate / Putamen R	rpe	0.6394941017402164
42	Caudate / Putamen R	rpe	0.2315177211707282
43	Caudate / Putamen R	rpe	0.2179615280262126
45	Caudate / Putamen R	rpe	0.44822467816106537
46	Caudate / Putamen R	rpe	0.12589435851215888
47	Caudate / Putamen R	rpe	0.5615807383394176
48	Caudate / Putamen R	rpe	0.4162106777660406
49	Caudate / Putamen R	rpe	0.4127866906438876
50	Caudate / Putamen R	rpe	0.14121707371504205
51	Caudate / Putamen R	rpe	0.4659230892132575
52	Caudate / Putamen R	rpe	0.25728544144783605
53	Caudate / Putamen R	rpe	0.14722099810085362
54	Caudate / Putamen R	rpe	0.16763371600643517
55	Caudate / Putamen R	rpe	0.3600011469410904
56	Caudate / Putamen R	rpe	0.485780452503027
57	Caudate / Putamen R	rpe	0.09200204781907946
58	Caudate / Putamen R	rpe	0.5823999076616794
59	Caudate / Putamen R	rpe	0.05839689784223114
60	Caudate / Putamen R	rpe	0.14555556114164503
61	Caudate / Putamen R	rpe	0.29940346360434855
62	Caudate / Putamen R	rpe	0.07956053571838398
63	Caudate / Putamen R	rpe	-0.14561417983452174
64	Caudate / Putamen R	rpe	0.301840440335455
01	Caudate / Putamen R	urpe	0.09428804948244018
02	Caudate / Putamen R	urpe	-0.2941132510112424
03	Caudate / Putamen R	urpe	-0.07814292914874202
04	Caudate / Putamen R	urpe	-0.33543424036281333
05	Caudate / Putamen R	urpe	-0.1473894761258008
06	Caudate / Putamen R	urpe	-0.016097123586652363
07	Caudate / Putamen R	urpe	0.011675607173239799
09	Caudate / Putamen R	urpe	-0.213189729354445
