subject	name	signal	value
54	Caudate / Putamen R	urpe	-0.15224441311314962
55	Caudate / Putamen R	urpe	-0.19976288499113048
56	Caudate / Putamen R	urpe	-0.1896522599015022
57	Caudate / Putamen R	urpe	-0.16217108841239208
58	Caudate / Putamen R	urpe	-0.08977576797763592
59	Caudate / Putamen R	urpe	0.17415679054063937
60	Caudate / Putamen R	urpe	0.01742066158905642
61	Caudate / Putamen R	urpe	-0.10552194895117963
62	Caudate / Putamen R	urpe	0.03592090155699111
63	Caudate / Putamen R	urpe	-0.07900641836191177
64	Caudate / Putamen R	urpe	0.014527990371947805
01	Caudate / Putamen R	surprise	-0.05767438047021771
02	Caudate / Putamen R	surprise	0.0024161547457176823
03	Caudate / Putamen R	surprise	-0.02329260980734294
04	Caudate / Putamen R	surprise	-0.06478769408315191
05	Caudate / Putamen R	surprise	0.04479275988993939
06	Caudate / Putamen R	surprise	0.026882909552466243
07	Caudate / Putamen R	surprise	0.005748037939363168
09	Caudate / Putamen R	surprise	-0.008075611898332632
10	Caudate / Putamen R	surprise	0.0034491020937035973
11	Caudate / Putamen R	surprise	0.034311128068213126
12	Caudate / Putamen R	surprise	0.012328041641635217
14	Caudate / Putamen R	surprise	0.012315534089716813
15	Caudate / Putamen R	surprise	-0.03805601455543049
17	Caudate / Putamen R	surprise	-0.01698652950069607
18	Caudate / Putamen R	surprise	-0.05570341952315261
19	Caudate / Putamen R	surprise	-0.1707035643402652
20	Caudate / Putamen R	surprise	0.04102051077495592
21	Caudate / Putamen R	surprise	-0.003191415734315819
22	Caudate / Putamen R	surprise	-0.02024829765787833
23	Caudate / Putamen R	surprise	0.02031198838478284
24	Caudate / Putamen R	surprise	-0.017087260575140168
25	Caudate / Putamen R	surprise	-0.07237089702205593
26	Caudate / Putamen R	surprise	0.2111612080291447
27	Caudate / Putamen R	surprise	0.02418557986994473
28	Caudate / Putamen R	surprise	0.02558420262350609
29	Caudate / Putamen R	surprise	-0.015838695371194172
30	Caudate / Putamen R	surprise	-0.008813995063726652
33	Caudate / Putamen R	surprise	0.013735252046182516
34	Caudate / Putamen R	surprise	0.004362895805432125
35	Caudate / Putamen R	surprise	0.10302983399566928
36	Caudate / Putamen R	surprise	-0.04092623567775497
37	Caudate / Putamen R	surprise	-0.001403430489237824
38	Caudate / Putamen R	surprise	0.159408752869507
39	Caudate / Putamen R	surprise	0.06267998503986873
40	Caudate / Putamen R	surprise	-0.020834614197301263
41	Caudate / Putamen R	surprise	0.06688866608786481
42	Caudate / Putamen R	surprise	-0.019720148492299205
43	Caudate / Putamen R	surprise	-0.008028199472042271
45	Caudate / Putamen R	surprise	0.0006620866043397139
46	Caudate / Putamen R	surprise	0.0023749337564940164
47	Caudate / Putamen R	surprise	-0.04493474821602115
48	Caudate / Putamen R	surprise	-0.03498893795079744
49	Caudate / Putamen R	surprise	0.08488649002410045
50	Caudate / Putamen R	surprise	-0.0050902347499787726
51	Caudate / Putamen R	surprise	-0.006424205319594762
52	Caudate / Putamen R	surprise	-0.039694995014902694
53	Caudate / Putamen R	surprise	0.017876020885408662
54	Caudate / Putamen R	surprise	0.03259892397010246
55	Caudate / Putamen R	surprise	-0.07497688163952444
56	Caudate / Putamen R	surprise	0.10615523711364078
57	Caudate / Putamen R	surprise	-0.03881495650020281
58	Caudate / Putamen R	surprise	0.013407686013478925
59	Caudate / Putamen R	surprise	-0.12947944664727984
60	Caudate / Putamen R	surprise	-0.03190364682351077
61	Caudate / Putamen R	surprise	-0.008366771364070286
62	Caudate / Putamen R	surprise	0.03591789109008907
63	Caudate / Putamen R	surprise	0.07203731941655284
64	Caudate / Putamen R	surprise	0.012418444366727371
01	Caudate / Putamen R (2)	rpe	0.1436913596926042
02	Caudate / Putamen R (2)	rpe	0.5391646147078176
03	Caudate / Putamen R (2)	rpe	0.6395621297267794
04	Caudate / Putamen R (2)	rpe	0.18119189246171588
05	Caudate / Putamen R (2)	rpe	0.40381375067867104
06	Caudate / Putamen R (2)	rpe	0.15906205411698973
07	Caudate / Putamen R (2)	rpe	-0.0598269140386886
09	Caudate / Putamen R (2)	rpe	0.28382296602022083
10	Caudate / Putamen R (2)	rpe	0.6801919308157736
11	Caudate / Putamen R (2)	rpe	0.489865550812374
12	Caudate / Putamen R (2)	rpe	0.1336445253240121
14	Caudate / Putamen R (2)	rpe	0.21298343781566903
15	Caudate / Putamen R (2)	rpe	0.11558999554542605
17	Caudate / Putamen R (2)	rpe	0.12238940025919852
18	Caudate / Putamen R (2)	rpe	0.20516826286999648
19	Caudate / Putamen R (2)	rpe	0.4064779711085916
20	Caudate / Putamen R (2)	rpe	0.15064879728628247
21	Caudate / Putamen R (2)	rpe	0.37805651101256377
22	Caudate / Putamen R (2)	rpe	0.14922236069285272
23	Caudate / Putamen R (2)	rpe	0.009749502503891476
24	Caudate / Putamen R (2)	rpe	0.4717721808401188
25	Caudate / Putamen R (2)	rpe	0.3556873371765524
